ho_id,timestamp,task_type,path,isl_ms,gnd_ms,prop_ms,path_p_isl,path_p_gnd,access_cost_isl,access_cost_gnd,inv_cost_p_isl,inv_cost_p_gnd,trgsat_bg,tn_bg,amf_inst,amf_p0,amf_p1,amf_p2,amf_ms,amf_rho,amf_x,amf_cost,smf_inst,smf_p0,smf_p1,smf_p2,smf_ms,smf_rho,smf_x,smf_cost,upf_inst,upf_p0,upf_p1,upf_p2,upf_ms,upf_rho,upf_x,upf_cost,core_ms,total_ms,on_amf_p0,on_amf_p1,on_amf_p2,on_smf_p0,on_smf_p1,on_smf_p2,on_upf_p0,on_upf_p1,on_upf_p2,gnd_amf_p0,gnd_amf_p1,gnd_amf_p2,gnd_smf_p0,gnd_smf_p1,gnd_smf_p2,gnd_upf_p0,gnd_upf_p1,gnd_upf_p2,global_oracle_ms,access_regret_ms,inst_regret_ms,global_regret_ms,cum_access_regret_ms,cum_inst_regret_ms,cum_global_regret_ms
1,2026-05-12T21:05:41.391903+00:00,mixed,ISL,10.854,24.235,10.854,0.5,0.5,15.064,31.928,0.6794,0.3206,0.525,0.35,0,0.3333,0.3333,0.3333,0.347,0.4267,-0.11531,-0.24361,1,0.3333,0.3333,0.3333,1.068,0.4444,0.0068,0.01216,0,0.3333,0.3333,0.3333,1.097,0.5333,-0.09032,-0.14557,2.512,17.576,0.353,0.3336,0.3134,0.3476,0.3325,0.3199,0.3483,0.3322,0.3195,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,17.703,0.0,0.0,0.0,0.0,0.0,0.0
2,2026-05-12T21:05:51.407774+00:00,mixed,ISL,20.169,13.576,20.169,0.5216,0.4784,24.536,21.331,0.4651,0.5349,0.542,0.3552,1,0.353,0.3336,0.3134,2.567,0.6095,0.10673,0.1311,2,0.3476,0.3325,0.3199,3.219,0.6667,0.22188,0.23607,1,0.3483,0.3322,0.3195,5.053,0.8,0.30529,0.26643,10.839,35.375,0.3706,0.3334,0.2959,0.3621,0.3319,0.3059,0.3633,0.3306,0.3061,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,21.97,3.205,8.2,13.406,3.205,8.2,13.406
3,2026-05-12T21:06:01.419092+00:00,mixed,GND,18.251,19.879,19.879,0.5179,0.4821,22.786,27.697,0.5486,0.4514,0.559,0.3605,1,0.3333,0.3333,0.3333,0.18,0.3048,-0.032,-0.08775,1,0.3333,0.3333,0.3333,0.278,0.2286,-0.00215,-0.00756,2,0.3333,0.3333,0.3333,0.264,0.3429,-0.01362,-0.03229,0.722,28.419,0.3706,0.3334,0.2959,0.3621,0.3319,0.3059,0.3633,0.3306,0.3061,0.3661,0.3308,0.303,0.3699,0.3277,0.3024,0.3753,0.3214,0.3033,25.426,4.91,0.084,2.993,8.116,8.284,16.399
4,2026-05-12T21:06:11.430574+00:00,mixed,ISL,20.266,14.549,20.266,0.5225,0.4775,24.981,22.432,0.4731,0.5269,0.5758,0.3657,0,0.3706,0.3334,0.2959,0.788,0.4267,-0.0712,-0.14328,1,0.3621,0.3319,0.3059,0.807,0.4444,-0.0193,-0.03536,0,0.3633,0.3306,0.3061,0.562,0.5333,-0.14383,-0.24302,2.157,27.138,0.3881,0.3337,0.2782,0.3762,0.3313,0.2925,0.3807,0.3276,0.2917,0.3661,0.3308,0.303,0.3699,0.3277,0.3024,0.3753,0.3214,0.3033,23.07,2.549,0.0,4.067,10.665,8.284,20.467
5,2026-05-12T21:06:21.442110+00:00,mixed,GND,20.119,23.203,23.203,0.5198,0.4802,25.028,31.151,0.5545,0.4455,0.5926,0.3709,2,0.3661,0.3308,0.303,1.697,0.6095,0.11965,0.14587,1,0.3699,0.3277,0.3024,0.276,0.2286,-0.0024,-0.00843,0,0.3753,0.3214,0.3033,0.367,0.1371,-0.0033,-0.01942,2.34,33.491,0.3881,0.3337,0.2782,0.3762,0.3313,0.2925,0.3807,0.3276,0.2917,0.4012,0.3236,0.2752,0.4076,0.32,0.2724,0.4113,0.3128,0.2759,27.667,6.123,1.701,5.823,16.788,9.984,26.29
6,2026-05-12T21:06:31.458775+00:00,mixed,ISL,18.86,20.05,18.86,0.5243,0.4757,23.976,28.065,0.5393,0.4607,0.6091,0.3761,0,0.3881,0.3337,0.2782,0.957,0.4267,-0.05429,-0.10736,2,0.3762,0.3313,0.2925,2.408,0.6667,0.14076,0.15608,1,0.3807,0.3276,0.2917,3.763,0.8,0.17634,0.16241,7.128,31.104,0.4047,0.3338,0.2615,0.3905,0.3296,0.2799,0.3955,0.3261,0.2784,0.4012,0.3236,0.2752,0.4076,0.32,0.2724,0.4113,0.3128,0.2759,26.616,0.0,4.489,4.489,16.788,14.473,30.779
7,2026-05-12T21:06:41.477327+00:00,mixed,ISL,10.995,20.423,10.995,0.5279,0.4721,16.334,28.505,0.6357,0.3643,0.6254,0.3813,1,0.4047,0.3338,0.2615,1.595,0.6095,0.00953,0.01243,1,0.3905,0.3296,0.2799,0.914,0.4444,-0.0086,-0.0156,1,0.3955,0.3261,0.2784,3.703,0.8,0.17025,0.15722,6.212,22.546,0.4216,0.3335,0.245,0.405,0.3279,0.2671,0.4104,0.3242,0.2654,0.4012,0.3236,0.2752,0.4076,0.32,0.2724,0.4113,0.3128,0.2759,18.973,0.0,3.573,3.573,16.788,18.046,34.351
8,2026-05-12T21:06:51.486638+00:00,mixed,ISL,9.312,20.595,9.312,0.5438,0.4562,14.89,28.745,0.6588,0.3412,0.6415,0.3865,0,0.4216,0.3335,0.245,1.657,0.4267,0.01566,0.02895,0,0.405,0.3279,0.2671,0.313,0.3333,-0.06865,-0.18004,1,0.4104,0.3242,0.2654,4.694,0.8,0.26937,0.23852,6.664,21.554,0.4348,0.3344,0.2308,0.4223,0.3241,0.2537,0.4258,0.3213,0.2529,0.4012,0.3236,0.2752,0.4076,0.32,0.2724,0.4113,0.3128,0.2759,17.529,0.0,4.025,4.025,16.788,22.071,38.376
9,2026-05-12T21:07:01.497957+00:00,mixed,ISL,18.083,23.851,18.083,0.5637,0.4363,23.917,32.071,0.5728,0.4272,0.6572,0.3917,0,0.4348,0.3344,0.2308,1.597,0.4267,0.00968,0.018,1,0.4223,0.3241,0.2537,1.383,0.4444,0.03829,0.06665,0,0.4258,0.3213,0.2529,0.56,0.5333,-0.14398,-0.24332,3.54,27.457,0.4482,0.3347,0.2171,0.4379,0.32,0.2421,0.4438,0.3166,0.2397,0.4012,0.3236,0.2752,0.4076,0.32,0.2724,0.4113,0.3128,0.2759,26.556,0.0,0.901,0.901,16.788,22.971,39.277
10,2026-05-12T21:07:11.433328+00:00,mixed,GND,9.064,15.354,15.354,0.5697,0.4303,15.172,23.643,0.6091,0.3909,0.6725,0.3968,2,0.4012,0.3236,0.2752,1.739,0.6095,0.12394,0.15072,0,0.4076,0.32,0.2724,0.022,0.1429,-0.02784,-0.16946,2,0.4113,0.3128,0.2759,0.422,0.3429,0.00224,0.00521,2.183,25.827,0.4482,0.3347,0.2171,0.4379,0.32,0.2421,0.4438,0.3166,0.2397,0.4371,0.3146,0.2483,0.4551,0.3046,0.2403,0.4565,0.2972,0.2463,17.811,8.472,1.545,8.016,25.26,24.516,47.293
