ho_id,timestamp,task_type,path,isl_ms,gnd_ms,prop_ms,path_p_isl,path_p_gnd,access_cost_isl,access_cost_gnd,inv_cost_p_isl,inv_cost_p_gnd,trgsat_bg,tn_bg,amf_inst,amf_p0,amf_p1,amf_p2,amf_ms,amf_rho,amf_x,amf_cost,smf_inst,smf_p0,smf_p1,smf_p2,smf_ms,smf_rho,smf_x,smf_cost,upf_inst,upf_p0,upf_p1,upf_p2,upf_ms,upf_rho,upf_x,upf_cost,core_ms,total_ms,on_amf_p0,on_amf_p1,on_amf_p2,on_smf_p0,on_smf_p1,on_smf_p2,on_upf_p0,on_upf_p1,on_upf_p2,gnd_amf_p0,gnd_amf_p1,gnd_amf_p2,gnd_smf_p0,gnd_smf_p1,gnd_smf_p2,gnd_upf_p0,gnd_upf_p1,gnd_upf_p2,on_amf_B0,on_amf_B1,on_amf_B2,on_smf_B0,on_smf_B1,on_smf_B2,on_upf_B0,on_upf_B1,on_upf_B2,gnd_amf_B0,gnd_amf_B1,gnd_amf_B2,gnd_smf_B0,gnd_smf_B1,gnd_smf_B2,gnd_upf_B0,gnd_upf_B1,gnd_upf_B2,global_oracle_ms,access_regret_ms,inst_regret_ms,global_regret_ms,cum_access_regret_ms,cum_inst_regret_ms,cum_global_regret_ms
1,2026-05-14T17:29:23.674550+00:00,instagram,ISL,7.856,40.219,7.856,0.5,0.5,16.277,47.912,0.7464,0.2536,0.525,0.35,0,0.3333,0.3333,0.3333,0.772,0.4966,-0.07283,-0.21233,1,0.3333,0.3333,0.3333,0.927,0.5523,-0.00727,-0.01539,2,0.3333,0.3333,0.3333,2.784,0.6667,0.07842,0.11111,4.483,20.761,0.3537,0.3265,0.3198,0.3441,0.334,0.3219,0.3259,0.3259,0.3483,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,1.0007,0.9993,0.9984,1.0,1.0001,0.9989,0.9756,0.9722,0.9991,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.882,0.0,0.0,0.0,0.0,0.0,0.0
2,2026-05-14T17:29:29.679768+00:00,instagram,ISL,42.418,43.813,42.418,0.5697,0.4303,51.152,51.567,0.502,0.498,0.542,0.3552,2,0.3537,0.3265,0.3198,6.888,0.6673,0.53879,0.58983,2,0.3441,0.334,0.3219,1.722,0.6135,0.07217,0.1123,2,0.3259,0.3259,0.3483,3.686,0.6667,0.16856,0.22486,12.295,63.447,0.3752,0.3221,0.3027,0.3553,0.3325,0.3122,0.3191,0.3191,0.3619,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,1.0012,0.9987,0.9944,1.0001,0.9998,0.9981,0.9506,0.9437,0.9973,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,52.247,0.0,7.655,11.2,0.0,7.655,11.2
3,2026-05-14T17:29:35.686546+00:00,instagram,ISL,20.57,25.494,20.57,0.5685,0.4315,29.64,33.312,0.5292,0.4708,0.559,0.3605,0,0.3752,0.3221,0.3027,0.694,0.5264,-0.08059,-0.23822,1,0.3553,0.3325,0.3122,0.771,0.5349,-0.02287,-0.04922,2,0.3191,0.3191,0.3619,2.246,0.6667,0.02459,0.03611,3.711,33.351,0.3974,0.314,0.2886,0.3658,0.3335,0.3007,0.3107,0.3107,0.3786,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,1.002,0.9981,0.9929,1.0001,1.0001,0.9969,0.9249,0.9143,0.997,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,33.992,0.0,0.0,0.0,0.0,7.655,11.2
4,2026-05-14T17:29:41.696559+00:00,instagram,ISL,14.92,26.278,14.92,0.5681,0.4319,24.35,34.161,0.5838,0.4162,0.5758,0.3657,0,0.3974,0.314,0.2886,0.712,0.5397,-0.07884,-0.23261,0,0.3658,0.3335,0.3007,0.885,0.5674,-0.01146,-0.03145,2,0.3107,0.3107,0.3786,3.007,0.6667,0.10069,0.14012,4.604,28.954,0.4197,0.3057,0.2745,0.3783,0.3318,0.2899,0.3031,0.3031,0.3939,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,1.0028,0.9975,0.9913,1.0002,0.9999,0.9957,0.8985,0.884,0.9958,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,29.046,0.0,0.0,0.0,0.0,7.655,11.2
5,2026-05-14T17:29:47.697348+00:00,instagram,ISL,35.828,29.459,35.828,0.5783,0.4217,45.646,37.407,0.4504,0.5496,0.5926,0.3709,1,0.4197,0.3057,0.2745,1.485,0.6492,-0.00149,-0.00279,1,0.3783,0.3318,0.2899,0.768,0.5187,-0.02317,-0.04988,2,0.3031,0.3031,0.3939,3.192,0.6667,0.11917,0.16361,5.445,51.091,0.4376,0.3009,0.2615,0.3891,0.3324,0.2785,0.2955,0.2955,0.409,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,1.0032,0.9975,0.9897,1.0002,1.0001,0.9946,0.8714,0.8526,0.9944,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,38.089,8.239,0.731,13.002,8.239,8.386,24.202
6,2026-05-14T17:29:53.707100+00:00,instagram,ISL,36.164,25.322,36.164,0.5709,0.4291,46.397,33.337,0.4181,0.5819,0.6091,0.3761,2,0.4376,0.3009,0.2615,2.326,0.6683,0.08264,0.11561,0,0.3891,0.3324,0.2785,0.692,0.557,-0.03084,-0.08698,2,0.2955,0.2955,0.409,2.791,0.6667,0.07913,0.11147,5.809,52.207,0.4557,0.2939,0.2504,0.4036,0.3293,0.267,0.2875,0.2875,0.4251,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,1.0036,0.9971,0.9887,1.0005,1.0,0.9933,0.8434,0.8201,0.9935,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,34.019,13.061,1.083,18.188,21.3,9.469,42.39
7,2026-05-14T17:29:59.718839+00:00,instagram,GND,42.924,36.278,36.278,0.5587,0.4413,53.603,44.36,0.4528,0.5472,0.6254,0.3813,1,0.3333,0.3333,0.3333,0.238,0.3451,-0.02624,-0.0838,0,0.3333,0.3333,0.3333,0.217,0.2975,-0.00835,-0.04788,1,0.3333,0.3333,0.3333,0.158,0.2619,-0.02416,-0.09681,0.612,44.973,0.4557,0.2939,0.2504,0.4036,0.3293,0.267,0.2875,0.2875,0.4251,0.3574,0.3312,0.3113,0.3675,0.3255,0.307,0.3605,0.3291,0.3105,1.0036,0.9971,0.9887,1.0005,1.0,0.9933,0.8434,0.8201,0.9935,1.0001,1.0002,0.9998,1.0,1.0,0.9998,1.0001,1.0001,1.0,45.043,0.0,0.0,0.0,21.3,9.469,42.39
8,2026-05-14T17:30:05.747589+00:00,instagram,GND,17.545,21.641,21.641,0.5536,0.4464,28.702,29.791,0.5093,0.4907,0.6415,0.3865,0,0.3574,0.3312,0.3113,0.135,0.3442,-0.03649,-0.17398,2,0.3675,0.3255,0.307,0.409,0.4467,0.01095,0.02646,1,0.3605,0.3291,0.3105,0.355,0.2619,-0.00446,-0.01717,0.9,30.691,0.4557,0.2939,0.2504,0.4036,0.3293,0.267,0.2875,0.2875,0.4251,0.3874,0.3239,0.2887,0.4027,0.3153,0.2821,0.3904,0.3201,0.2895,1.0036,0.9971,0.9887,1.0005,1.0,0.9933,0.8434,0.8201,0.9935,1.0003,1.0002,0.9996,1.0001,1.0,0.9997,1.0002,1.0002,1.0,30.474,1.089,0.217,0.217,22.389,9.685,42.607
9,2026-05-14T17:30:11.745659+00:00,instagram,GND,18.584,28.841,28.841,0.5485,0.4515,30.253,37.06,0.5506,0.4494,0.6572,0.3917,2,0.3874,0.3239,0.2887,0.572,0.4878,0.00722,0.01567,1,0.4027,0.3153,0.2821,0.289,0.292,-0.00107,-0.00375,1,0.3904,0.3201,0.2895,0.42,0.2619,0.00204,0.00775,1.282,38.342,0.4557,0.2939,0.2504,0.4036,0.3293,0.267,0.2875,0.2875,0.4251,0.4133,0.3175,0.2692,0.4389,0.3048,0.2563,0.4216,0.3091,0.2693,1.0036,0.9971,0.9887,1.0005,1.0,0.9933,0.8434,0.8201,0.9935,1.0004,1.0003,0.9996,1.0001,1.0,0.9994,1.0002,1.0002,1.0,34.968,6.807,0.598,3.374,29.196,10.284,45.981
10,2026-05-14T17:30:17.743416+00:00,instagram,ISL,12.561,25.798,12.561,0.5515,0.4485,24.776,34.088,0.5791,0.4209,0.6725,0.3968,0,0.4557,0.2939,0.2504,0.962,0.581,-0.05383,-0.153,1,0.4036,0.3293,0.267,2.298,0.4876,0.12983,0.24088,2,0.2875,0.2875,0.4251,2.262,0.6667,0.02618,0.03827,5.522,30.298,0.475,0.2873,0.2377,0.4194,0.3228,0.2578,0.2787,0.2787,0.4426,0.4133,0.3175,0.2692,0.4389,0.3048,0.2563,0.4216,0.3091,0.2693,1.0041,0.9968,0.987,1.0006,0.999,0.992,0.8145,0.7863,0.9932,1.0004,1.0003,0.9996,1.0001,1.0,0.9994,1.0002,1.0002,1.0,29.472,0.0,0.826,0.826,29.196,11.11,46.807
11,2026-05-14T17:30:23.746871+00:00,instagram,ISL,31.329,28.93,31.329,0.5607,0.4393,44.129,37.291,0.458,0.542,0.6875,0.402,1,0.475,0.2873,0.2377,3.499,0.5921,0.19994,0.31709,0,0.4194,0.3228,0.2578,1.72,0.5046,0.072,0.17767,2,0.2787,0.2787,0.4426,3.015,0.6667,0.10148,0.14063,8.234,52.363,0.4959,0.2768,0.2272,0.4257,0.3244,0.2499,0.2708,0.2708,0.4585,0.4133,0.3175,0.2692,0.4389,0.3048,0.2563,0.4216,0.3091,0.2693,1.0044,0.9953,0.9853,1.0001,0.9989,0.9906,0.7846,0.7511,0.992,1.0004,1.0003,0.9996,1.0001,1.0,0.9994,1.0002,1.0002,1.0,37.975,6.838,3.566,14.388,36.034,14.676,61.195
