ho_id,timestamp,task_type,path,isl_ms,gnd_ms,prop_ms,path_p_isl,path_p_gnd,access_cost_isl,access_cost_gnd,inv_cost_p_isl,inv_cost_p_gnd,trgsat_bg,tn_bg,amf_inst,amf_p0,amf_p1,amf_p2,amf_ms,amf_rho,amf_x,amf_cost,smf_inst,smf_p0,smf_p1,smf_p2,smf_ms,smf_rho,smf_x,smf_cost,upf_inst,upf_p0,upf_p1,upf_p2,upf_ms,upf_rho,upf_x,upf_cost,core_ms,total_ms,on_amf_p0,on_amf_p1,on_amf_p2,on_smf_p0,on_smf_p1,on_smf_p2,on_upf_p0,on_upf_p1,on_upf_p2,gnd_amf_p0,gnd_amf_p1,gnd_amf_p2,gnd_smf_p0,gnd_smf_p1,gnd_smf_p2,gnd_upf_p0,gnd_upf_p1,gnd_upf_p2,on_amf_B0,on_amf_B1,on_amf_B2,on_smf_B0,on_smf_B1,on_smf_B2,on_upf_B0,on_upf_B1,on_upf_B2,gnd_amf_B0,gnd_amf_B1,gnd_amf_B2,gnd_smf_B0,gnd_smf_B1,gnd_smf_B2,gnd_upf_B0,gnd_upf_B1,gnd_upf_B2,global_oracle_ms,access_regret_ms,inst_regret_ms,global_regret_ms,cum_access_regret_ms,cum_inst_regret_ms,cum_global_regret_ms
1,2026-05-14T16:56:39.708334+00:00,youtube,GND,16.107,40.227,40.227,0.5,0.5,24.528,47.919,0.6614,0.3386,0.525,0.35,2,0.3333,0.3333,0.3333,0.225,0.3296,-0.12751,-0.32765,0,0.3333,0.3333,0.3333,0.127,0.2357,-0.08725,-0.6712,2,0.3333,0.3333,0.3333,0.057,0.2,-0.14432,-0.70516,0.409,48.328,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3994,0.3125,0.2882,0.4181,0.3041,0.2779,0.9667,0.0167,0.0167,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0012,1.0011,1.0016,1.0006,1.0005,1.0004,1.0071,1.0013,1.0017,26.955,23.391,0.0,21.373,23.391,0.0,21.373
2,2026-05-14T16:56:45.708955+00:00,youtube,ISL,41.521,43.497,41.521,0.5269,0.4731,50.255,51.252,0.5049,0.4951,0.542,0.3552,0,0.3333,0.3333,0.3333,1.126,0.3976,-0.2874,-1.43198,1,0.3333,0.3333,0.3333,2.057,0.4007,-0.09427,-0.22087,2,0.3333,0.3333,0.3333,0.876,0.4148,-0.51244,-2.339,4.059,54.314,0.4233,0.2982,0.2784,0.3841,0.3106,0.3053,0.4583,0.203,0.3387,0.3994,0.3125,0.2882,0.4181,0.3041,0.2779,0.9667,0.0167,0.0167,1.0089,1.0055,1.0048,1.0042,1.0011,1.0028,1.0574,1.011,1.0449,1.0012,1.0011,1.0016,1.0006,1.0005,1.0004,1.0071,1.0013,1.0017,51.86,0.0,1.609,2.454,23.391,1.609,23.828
3,2026-05-14T16:56:51.721532+00:00,youtube,ISL,14.458,21.703,14.458,0.5266,0.4734,23.528,29.521,0.5565,0.4435,0.559,0.3605,0,0.4233,0.2982,0.2784,0.649,0.4121,-0.33506,-2.37859,0,0.3841,0.3106,0.3053,0.495,0.4587,-0.25048,-1.14906,2,0.4583,0.203,0.3387,0.861,0.4148,-0.51388,-3.28008,2.006,25.533,0.671,0.176,0.153,0.4498,0.2876,0.2626,0.7734,0.0472,0.1795,0.3994,0.3125,0.2882,0.4181,0.3041,0.2779,0.9667,0.0167,0.0167,1.0316,1.0111,1.0096,1.01,1.0047,1.0056,1.1802,1.0221,1.1098,1.0012,1.0011,1.0016,1.0006,1.0005,1.0004,1.0071,1.0013,1.0017,25.997,0.0,0.0,0.0,23.391,1.609,23.828
4,2026-05-14T16:56:57.727598+00:00,youtube,GND,13.966,21.83,21.83,0.5389,0.4611,23.397,29.712,0.5595,0.4405,0.5758,0.3657,1,0.3994,0.3125,0.2882,0.21,0.2536,-0.12901,-0.50431,2,0.4181,0.3041,0.2779,0.395,0.3127,-0.06047,-0.16052,0,0.9667,0.0167,0.0167,0.082,0.1,-0.14185,-6.90776,0.687,30.399,0.671,0.176,0.153,0.4498,0.2876,0.2626,0.7734,0.0472,0.1795,0.4679,0.2923,0.2398,0.497,0.2735,0.2295,0.9667,0.0166,0.0166,1.0316,1.0111,1.0096,1.01,1.0047,1.0056,1.1802,1.0221,1.1098,1.0025,1.0025,1.0026,1.0011,1.001,1.001,1.4124,1.0027,1.0028,25.883,6.315,0.077,4.516,29.707,1.686,28.344
5,2026-05-14T16:57:03.799188+00:00,youtube,GND,35.248,21.576,21.576,0.5521,0.4479,45.065,29.524,0.3958,0.6042,0.5926,0.3709,1,0.4679,0.2923,0.2398,0.273,0.2513,-0.12266,-0.4733,0,0.497,0.2735,0.2295,0.203,0.2421,-0.0797,-0.59251,0,0.9667,0.0166,0.0166,0.182,0.1,-0.13184,-6.90776,0.658,30.182,0.671,0.176,0.153,0.4498,0.2876,0.2626,0.7734,0.0472,0.1795,0.5381,0.2662,0.1957,0.5758,0.2402,0.184,0.9667,0.0166,0.0166,1.0316,1.0111,1.0096,1.01,1.0047,1.0056,1.1802,1.0221,1.1098,1.0037,1.0038,1.0037,1.0016,1.0015,1.0015,1.7891,1.004,1.0039,30.134,0.0,0.048,0.048,29.707,1.734,28.392
6,2026-05-14T16:57:09.743586+00:00,youtube,ISL,43.594,36.448,43.594,0.5346,0.4654,53.827,44.462,0.4524,0.5476,0.6091,0.3761,0,0.671,0.176,0.153,0.654,0.4476,-0.3346,-2.65805,1,0.4498,0.2876,0.2626,3.148,0.3684,0.0148,0.03074,0,0.7734,0.0472,0.1795,0.552,0.3889,-0.54479,-6.90776,4.354,58.181,0.8801,0.0665,0.0534,0.512,0.2537,0.2343,0.9667,0.0167,0.0167,0.5381,0.2662,0.1957,0.5758,0.2402,0.184,0.9667,0.0166,0.0166,1.0587,1.0171,1.0144,1.0144,1.0046,1.0083,2.0,1.0333,1.1604,1.0037,1.0038,1.0037,1.0016,1.0015,1.0015,1.7891,1.004,1.0039,45.073,9.365,1.848,13.108,39.071,3.583,41.5
7,2026-05-14T16:57:15.749670+00:00,youtube,ISL,30.054,31.269,30.054,0.5301,0.4699,40.733,39.351,0.4914,0.5086,0.6254,0.3813,0,0.8801,0.0665,0.0534,0.547,0.4558,-0.3453,-6.90776,2,0.512,0.2537,0.2343,1.084,0.4489,-0.19158,-0.38538,0,0.9667,0.0167,0.0167,0.508,0.3889,-0.54922,-6.90776,2.139,42.872,0.9667,0.0167,0.0167,0.5629,0.235,0.2021,0.9667,0.0166,0.0166,0.5381,0.2662,0.1957,0.5758,0.2402,0.184,0.9667,0.0166,0.0166,1.1239,1.0233,1.0193,1.0189,1.0083,1.0117,2.0,1.0446,1.2403,1.0037,1.0038,1.0037,1.0016,1.0015,1.0015,1.7891,1.004,1.0039,39.962,1.382,0.0,2.91,40.453,3.583,44.41
8,2026-05-14T16:57:21.762017+00:00,youtube,GND,26.419,22.993,22.993,0.5278,0.4722,37.576,31.143,0.4532,0.5468,0.6415,0.3865,0,0.5381,0.2662,0.1957,0.283,0.2756,-0.12174,-0.76621,0,0.5758,0.2402,0.184,0.261,0.2445,-0.07389,-0.53552,0,0.9667,0.0166,0.0166,0.211,0.1,-0.12891,-6.90776,0.755,31.898,0.9667,0.0167,0.0167,0.5629,0.235,0.2021,0.9667,0.0166,0.0166,0.606,0.2364,0.1576,0.6441,0.2094,0.1465,0.9667,0.0166,0.0166,1.1239,1.0233,1.0193,1.0189,1.0083,1.0117,2.0,1.0446,1.2403,1.0049,1.0049,1.0047,1.0021,1.002,1.0019,2.0,1.0053,1.0051,31.755,0.0,0.143,0.143,40.453,3.726,44.554
9,2026-05-14T16:57:27.772684+00:00,youtube,GND,29.078,26.227,26.227,0.5179,0.4821,40.747,34.446,0.4581,0.5419,0.6572,0.3917,0,0.606,0.2364,0.1576,0.265,0.2771,-0.12354,-0.78489,1,0.6441,0.2094,0.1465,0.613,0.2063,-0.03873,-0.14601,0,0.9667,0.0166,0.0166,0.159,0.1,-0.13406,-6.90776,1.037,35.483,0.9667,0.0167,0.0167,0.5629,0.235,0.2021,0.9667,0.0166,0.0166,0.6714,0.2048,0.1238,0.7162,0.1714,0.1124,0.9667,0.0166,0.0166,1.1239,1.0233,1.0193,1.0189,1.0083,1.0117,2.0,1.0446,1.2403,1.0061,1.006,1.0057,1.0026,1.0023,1.0023,2.0,1.0067,1.0062,35.058,0.0,0.425,0.425,40.453,4.151,44.979
10,2026-05-14T16:57:33.777592+00:00,youtube,GND,16.307,25.57,25.57,0.5107,0.4893,28.523,33.86,0.5428,0.4572,0.6725,0.3968,1,0.6714,0.2048,0.1238,0.738,0.2414,-0.07616,-0.2676,0,0.7162,0.1714,0.1124,0.163,0.245,-0.08366,-0.63484,0,0.9667,0.0166,0.0166,0.064,0.1,-0.14363,-6.90776,0.966,34.826,0.9667,0.0167,0.0167,0.5629,0.235,0.2021,0.9667,0.0166,0.0166,0.735,0.1691,0.0958,0.779,0.1382,0.0828,0.9667,0.0166,0.0166,1.1239,1.0233,1.0193,1.0189,1.0083,1.0117,2.0,1.0446,1.2403,1.0074,1.0067,1.0067,1.0032,1.0028,1.0028,2.0,1.008,1.0074,31.007,5.337,0.354,3.818,45.791,4.505,48.797
