ho_id,timestamp,task_type,path,isl_ms,gnd_ms,prop_ms,path_p_isl,path_p_gnd,access_cost_isl,access_cost_gnd,inv_cost_p_isl,inv_cost_p_gnd,trgsat_bg,tn_bg,amf_inst,amf_p0,amf_p1,amf_p2,amf_ms,amf_rho,amf_x,amf_cost,smf_inst,smf_p0,smf_p1,smf_p2,smf_ms,smf_rho,smf_x,smf_cost,upf_inst,upf_p0,upf_p1,upf_p2,upf_ms,upf_rho,upf_x,upf_cost,core_ms,total_ms,on_amf_p0,on_amf_p1,on_amf_p2,on_smf_p0,on_smf_p1,on_smf_p2,on_upf_p0,on_upf_p1,on_upf_p2,gnd_amf_p0,gnd_amf_p1,gnd_amf_p2,gnd_smf_p0,gnd_smf_p1,gnd_smf_p2,gnd_upf_p0,gnd_upf_p1,gnd_upf_p2,global_oracle_ms,access_regret_ms,inst_regret_ms,global_regret_ms,cum_access_regret_ms,cum_inst_regret_ms,cum_global_regret_ms
3,2026-05-12T21:06:01.419092+00:00,mixed,GND,18.251,19.879,19.879,0.5179,0.4821,22.786,27.697,0.5486,0.4514,0.559,0.3605,1,0.3333,0.3333,0.3333,0.18,0.3048,-0.032,-0.08775,1,0.3333,0.3333,0.3333,0.278,0.2286,-0.00215,-0.00756,2,0.3333,0.3333,0.3333,0.264,0.3429,-0.01362,-0.03229,0.722,28.419,0.3706,0.3334,0.2959,0.3621,0.3319,0.3059,0.3633,0.3306,0.3061,0.3661,0.3308,0.303,0.3699,0.3277,0.3024,0.3753,0.3214,0.3033,25.426,4.91,0.084,2.993,8.116,8.284,16.399
5,2026-05-12T21:06:21.442110+00:00,mixed,GND,20.119,23.203,23.203,0.5198,0.4802,25.028,31.151,0.5545,0.4455,0.5926,0.3709,2,0.3661,0.3308,0.303,1.697,0.6095,0.11965,0.14587,1,0.3699,0.3277,0.3024,0.276,0.2286,-0.0024,-0.00843,0,0.3753,0.3214,0.3033,0.367,0.1371,-0.0033,-0.01942,2.34,33.491,0.3881,0.3337,0.2782,0.3762,0.3313,0.2925,0.3807,0.3276,0.2917,0.4012,0.3236,0.2752,0.4076,0.32,0.2724,0.4113,0.3128,0.2759,27.667,6.123,1.701,5.823,16.788,9.984,26.29
10,2026-05-12T21:07:11.433328+00:00,mixed,GND,9.064,15.354,15.354,0.5697,0.4303,15.172,23.643,0.6091,0.3909,0.6725,0.3968,2,0.4012,0.3236,0.2752,1.739,0.6095,0.12394,0.15072,0,0.4076,0.32,0.2724,0.022,0.1429,-0.02784,-0.16946,2,0.4113,0.3128,0.2759,0.422,0.3429,0.00224,0.00521,2.183,25.827,0.4482,0.3347,0.2171,0.4379,0.32,0.2421,0.4438,0.3166,0.2397,0.4371,0.3146,0.2483,0.4551,0.3046,0.2403,0.4565,0.2972,0.2463,17.811,8.472,1.545,8.016,25.26,24.516,47.293
14,2026-05-12T21:07:51.479134+00:00,mixed,GND,8.89,20.583,20.583,0.6178,0.3822,16.285,29.163,0.6417,0.3583,0.7295,0.4172,1,0.4371,0.3146,0.2483,1.269,0.3048,0.07691,0.18388,2,0.4551,0.3046,0.2403,0.774,0.381,0.04741,0.09491,1,0.4565,0.2972,0.2463,0.289,0.2286,-0.01106,-0.03949,2.333,31.495,0.5014,0.3236,0.175,0.4773,0.3124,0.2103,0.4789,0.3115,0.2097,0.4764,0.2995,0.2241,0.4946,0.292,0.2134,0.5021,0.281,0.2169,18.924,12.878,1.694,12.571,38.137,34.705,68.359
15,2026-05-12T21:08:01.489349+00:00,gaming,GND,20.237,24.118,24.118,0.5,0.5,28.003,32.772,0.5392,0.4608,0.7425,0.4223,0,0.4764,0.2995,0.2241,0.411,0.0914,-0.00885,-0.0395,0,0.4946,0.292,0.2134,0.119,0.0714,-0.01813,-0.10708,0,0.3333,0.3333,0.3333,0.192,0.0448,-0.02084,-0.20603,0.722,33.494,0.5014,0.3236,0.175,0.4773,0.3124,0.2103,0.3333,0.3333,0.3333,0.5075,0.2904,0.2021,0.5367,0.2761,0.1872,0.4041,0.3153,0.2807,29.64,4.769,0.179,3.854,42.906,34.884,72.213
17,2026-05-12T21:08:21.516207+00:00,gaming,GND,15.316,25.797,25.797,0.5151,0.4849,23.882,34.603,0.5917,0.4083,0.7665,0.4322,1,0.5075,0.2904,0.2021,0.749,0.1524,0.0249,0.06331,0,0.5367,0.2761,0.1872,0.281,0.0714,-0.0019,-0.01068,0,0.4041,0.3153,0.2807,0.07,0.0448,-0.03299,-0.34931,1.1,35.703,0.5156,0.318,0.1665,0.489,0.3099,0.2011,0.3568,0.3287,0.3146,0.5445,0.2754,0.1801,0.5709,0.2634,0.1657,0.4993,0.2793,0.2214,25.518,10.721,0.557,10.185,53.627,36.53,83.487
18,2026-05-12T21:08:31.530470+00:00,gaming,GND,13.332,23.566,23.566,0.5226,0.4774,22.324,32.449,0.5924,0.4076,0.7776,0.4371,0,0.5445,0.2754,0.1801,0.08,0.0914,-0.04203,-0.20321,0,0.5709,0.2634,0.1657,0.168,0.0714,-0.01316,-0.07654,1,0.4993,0.2793,0.2214,0.239,0.0746,-0.01614,-0.09049,0.487,32.936,0.5156,0.318,0.1665,0.489,0.3099,0.2011,0.3568,0.3287,0.3146,0.5844,0.2584,0.1571,0.6087,0.2471,0.1442,0.5867,0.2416,0.1717,23.96,10.125,0.0,8.975,63.752,36.53,92.462
20,2026-05-12T21:08:51.548935+00:00,gaming,GND,17.047,26.075,26.075,0.5407,0.4593,26.927,35.115,0.566,0.434,0.7976,0.4469,0,0.5844,0.2584,0.1571,0.309,0.0914,-0.01914,-0.08744,0,0.6087,0.2471,0.1442,0.131,0.0714,-0.01689,-0.09937,1,0.5867,0.2416,0.1717,0.341,0.0746,-0.00592,-0.03225,0.781,35.896,0.5285,0.3136,0.1579,0.5032,0.3058,0.191,0.3823,0.3224,0.2953,0.6161,0.2453,0.1387,0.6466,0.2293,0.1241,0.6705,0.1999,0.1296,28.563,8.188,0.238,7.332,71.94,37.74,100.766
31,2026-05-12T21:10:41.682196+00:00,mixed,GND,16.133,25.801,25.801,0.6347,0.3653,29.467,35.74,0.5481,0.4519,0.85,0.4969,1,0.6161,0.2453,0.1387,0.131,0.3048,-0.0369,-0.10189,0,0.6466,0.2293,0.1241,0.103,0.1429,-0.01972,-0.11704,0,0.5021,0.281,0.2169,0.465,0.1371,0.00654,0.03743,0.699,36.439,0.667,0.248,0.085,0.6394,0.2534,0.1072,0.4941,0.3071,0.1988,0.6465,0.233,0.1204,0.6842,0.2103,0.1055,0.5349,0.2702,0.1949,32.106,6.273,0.061,4.333,78.914,41.088,109.785
33,2026-05-12T21:11:01.729557+00:00,mixed,GND,9.962,20.868,20.868,0.641,0.359,23.139,30.975,0.5724,0.4276,0.8482,0.5053,0,0.6465,0.233,0.1204,0.108,0.1829,-0.03924,-0.18838,0,0.6842,0.2103,0.1055,0.119,0.1429,-0.01809,-0.10678,0,0.5349,0.2702,0.1949,0.325,0.1371,-0.00748,-0.04459,0.552,31.527,0.6817,0.2408,0.0775,0.6512,0.2483,0.1005,0.5089,0.3029,0.1881,0.6818,0.2151,0.1031,0.7186,0.1921,0.0893,0.573,0.255,0.172,25.778,7.836,0.0,5.749,86.75,43.601,118.048
34,2026-05-12T21:11:11.739722+00:00,mixed,GND,14.418,23.57,23.57,0.6468,0.3532,27.405,33.761,0.552,0.448,0.846,0.5094,0,0.6818,0.2151,0.1031,0.372,0.1829,-0.01281,-0.05767,0,0.7186,0.1921,0.0893,0.072,0.1429,-0.02285,-0.1369,0,0.573,0.255,0.172,0.255,0.1371,-0.01449,-0.08829,0.699,34.459,0.6817,0.2408,0.0775,0.6512,0.2483,0.1005,0.5089,0.3029,0.1881,0.7081,0.2021,0.0898,0.7522,0.1732,0.0746,0.6132,0.2373,0.1495,30.044,6.355,0.06,4.415,93.105,43.661,122.462
36,2026-05-12T21:11:31.753282+00:00,mixed,GND,15.986,22.325,22.325,0.6521,0.3479,28.403,32.683,0.535,0.465,0.8389,0.5173,0,0.7081,0.2021,0.0898,0.389,0.1829,-0.01107,-0.04966,0,0.7522,0.1732,0.0746,0.086,0.1429,-0.02139,-0.12761,0,0.6132,0.2373,0.1495,0.143,0.1371,-0.02566,-0.16216,0.619,33.302,0.6965,0.233,0.0705,0.6659,0.2405,0.0936,0.5203,0.3003,0.1794,0.7326,0.1894,0.078,0.7822,0.1556,0.0621,0.6572,0.2157,0.1271,31.042,4.28,0.0,2.26,97.385,44.202,125.263
37,2026-05-12T21:11:41.759956+00:00,mixed,GND,25.895,21.888,21.888,0.6545,0.3455,37.95,32.329,0.46,0.54,0.8341,0.5211,1,0.7326,0.1894,0.078,0.14,0.3048,-0.03605,-0.0994,0,0.7822,0.1556,0.0621,0.165,0.1429,-0.01349,-0.07855,0,0.6572,0.2157,0.1271,0.041,0.1371,-0.03595,-0.23534,0.345,32.674,0.6965,0.233,0.0705,0.6659,0.2405,0.0936,0.5203,0.3003,0.1794,0.7564,0.177,0.0667,0.807,0.1408,0.0521,0.7039,0.1909,0.1051,32.968,0.0,0.0,0.0,97.385,44.202,125.263
41,2026-05-12T21:12:21.803268+00:00,mixed,GND,12.123,22.0,22.0,0.6647,0.3353,22.457,32.771,0.5934,0.4066,0.8065,0.5358,0,0.7564,0.177,0.0667,0.396,0.1829,-0.0104,-0.04656,1,0.807,0.1408,0.0521,0.227,0.2286,-0.00728,-0.02583,1,0.7039,0.1909,0.1051,0.086,0.2286,-0.0314,-0.11644,0.709,33.48,0.7294,0.2166,0.0541,0.7022,0.2219,0.0759,0.5626,0.2859,0.1515,0.7775,0.1649,0.0576,0.8279,0.1284,0.0437,0.7374,0.1744,0.0882,25.096,10.315,0.071,8.385,107.7,49.381,138.756
42,2026-05-12T21:12:31.823557+00:00,mixed,GND,11.504,22.863,22.863,0.672,0.328,21.384,33.715,0.6119,0.3881,0.7976,0.5392,0,0.7775,0.1649,0.0576,0.129,0.1829,-0.03706,-0.17692,0,0.8279,0.1284,0.0437,0.255,0.1429,-0.00453,-0.02568,0,0.7374,0.1744,0.0882,0.07,0.1371,-0.03304,-0.21414,0.454,34.169,0.7294,0.2166,0.0541,0.7022,0.2219,0.0759,0.5626,0.2859,0.1515,0.8022,0.1494,0.0484,0.8462,0.117,0.0369,0.7751,0.1527,0.0722,24.023,12.331,0.0,10.146,120.031,49.381,148.902
