ho_id,timestamp,task_type,path,isl_ms,gnd_ms,prop_ms,path_p_isl,path_p_gnd,access_cost_isl,access_cost_gnd,inv_cost_p_isl,inv_cost_p_gnd,trgsat_bg,tn_bg,amf_inst,amf_p0,amf_p1,amf_p2,amf_ms,amf_rho,amf_x,amf_cost,smf_inst,smf_p0,smf_p1,smf_p2,smf_ms,smf_rho,smf_x,smf_cost,upf_inst,upf_p0,upf_p1,upf_p2,upf_ms,upf_rho,upf_x,upf_cost,core_ms,total_ms,on_amf_p0,on_amf_p1,on_amf_p2,on_smf_p0,on_smf_p1,on_smf_p2,on_upf_p0,on_upf_p1,on_upf_p2,gnd_amf_p0,gnd_amf_p1,gnd_amf_p2,gnd_smf_p0,gnd_smf_p1,gnd_smf_p2,gnd_upf_p0,gnd_upf_p1,gnd_upf_p2,on_amf_B0,on_amf_B1,on_amf_B2,on_smf_B0,on_smf_B1,on_smf_B2,on_upf_B0,on_upf_B1,on_upf_B2,gnd_amf_B0,gnd_amf_B1,gnd_amf_B2,gnd_smf_B0,gnd_smf_B1,gnd_smf_B2,gnd_upf_B0,gnd_upf_B1,gnd_upf_B2,global_oracle_ms,access_regret_ms,inst_regret_ms,global_regret_ms,cum_access_regret_ms,cum_inst_regret_ms,cum_global_regret_ms
7,2026-05-14T17:29:59.718839+00:00,instagram,GND,42.924,36.278,36.278,0.5587,0.4413,53.603,44.36,0.4528,0.5472,0.6254,0.3813,1,0.3333,0.3333,0.3333,0.238,0.3451,-0.02624,-0.0838,0,0.3333,0.3333,0.3333,0.217,0.2975,-0.00835,-0.04788,1,0.3333,0.3333,0.3333,0.158,0.2619,-0.02416,-0.09681,0.612,44.973,0.4557,0.2939,0.2504,0.4036,0.3293,0.267,0.2875,0.2875,0.4251,0.3574,0.3312,0.3113,0.3675,0.3255,0.307,0.3605,0.3291,0.3105,1.0036,0.9971,0.9887,1.0005,1.0,0.9933,0.8434,0.8201,0.9935,1.0001,1.0002,0.9998,1.0,1.0,0.9998,1.0001,1.0001,1.0,45.043,0.0,0.0,0.0,21.3,9.469,42.39
8,2026-05-14T17:30:05.747589+00:00,instagram,GND,17.545,21.641,21.641,0.5536,0.4464,28.702,29.791,0.5093,0.4907,0.6415,0.3865,0,0.3574,0.3312,0.3113,0.135,0.3442,-0.03649,-0.17398,2,0.3675,0.3255,0.307,0.409,0.4467,0.01095,0.02646,1,0.3605,0.3291,0.3105,0.355,0.2619,-0.00446,-0.01717,0.9,30.691,0.4557,0.2939,0.2504,0.4036,0.3293,0.267,0.2875,0.2875,0.4251,0.3874,0.3239,0.2887,0.4027,0.3153,0.2821,0.3904,0.3201,0.2895,1.0036,0.9971,0.9887,1.0005,1.0,0.9933,0.8434,0.8201,0.9935,1.0003,1.0002,0.9996,1.0001,1.0,0.9997,1.0002,1.0002,1.0,30.474,1.089,0.217,0.217,22.389,9.685,42.607
9,2026-05-14T17:30:11.745659+00:00,instagram,GND,18.584,28.841,28.841,0.5485,0.4515,30.253,37.06,0.5506,0.4494,0.6572,0.3917,2,0.3874,0.3239,0.2887,0.572,0.4878,0.00722,0.01567,1,0.4027,0.3153,0.2821,0.289,0.292,-0.00107,-0.00375,1,0.3904,0.3201,0.2895,0.42,0.2619,0.00204,0.00775,1.282,38.342,0.4557,0.2939,0.2504,0.4036,0.3293,0.267,0.2875,0.2875,0.4251,0.4133,0.3175,0.2692,0.4389,0.3048,0.2563,0.4216,0.3091,0.2693,1.0036,0.9971,0.9887,1.0005,1.0,0.9933,0.8434,0.8201,0.9935,1.0004,1.0003,0.9996,1.0001,1.0,0.9994,1.0002,1.0002,1.0,34.968,6.807,0.598,3.374,29.196,10.284,45.981
13,2026-05-14T17:30:35.758379+00:00,instagram,GND,13.828,26.484,26.484,0.5447,0.4553,27.914,34.99,0.5562,0.4438,0.716,0.4122,1,0.4133,0.3175,0.2692,0.638,0.3346,0.01382,0.04145,1,0.4389,0.3048,0.2563,0.414,0.2882,0.01137,0.03901,1,0.4216,0.3091,0.2693,0.155,0.2619,-0.02452,-0.09832,1.207,36.196,0.5138,0.2706,0.2156,0.4389,0.3224,0.2387,0.2621,0.2621,0.4759,0.4415,0.3082,0.2503,0.4766,0.2914,0.232,0.4506,0.3016,0.2478,1.0048,0.9951,0.9837,1.0003,0.9989,0.9893,0.7536,0.7143,0.9915,1.0005,1.0002,0.9994,1.0001,0.9999,0.9992,1.0003,1.0003,0.9999,32.508,7.075,0.523,3.688,46.166,16.858,73.548
15,2026-05-14T17:30:47.770527+00:00,browsing,GND,30.137,29.495,29.495,0.5,0.5,45.669,38.15,0.4551,0.5449,0.7425,0.4223,1,0.4415,0.3082,0.2503,0.506,0.2993,0.0006,0.00183,0,0.4766,0.2914,0.232,0.092,0.2778,-0.02084,-0.12413,2,0.3333,0.3333,0.3333,0.529,0.2755,0.01287,0.04119,1.126,39.276,0.5316,0.2646,0.2039,0.455,0.3182,0.2269,0.3333,0.3333,0.3333,0.4691,0.2992,0.2317,0.519,0.2747,0.2063,0.4187,0.3072,0.2742,1.0052,0.995,0.9819,1.0006,0.9989,0.9878,1.0,1.0,1.0,1.0007,1.0002,0.9992,1.0002,0.9999,0.999,1.0001,1.0001,0.9999,38.745,0.0,0.532,0.532,46.166,17.389,74.08
16,2026-05-14T17:30:53.776241+00:00,browsing,GND,18.59,25.772,25.772,0.4939,0.5061,34.904,34.502,0.4971,0.5029,0.7548,0.4273,2,0.4691,0.2992,0.2317,0.536,0.4638,0.00358,0.00779,0,0.519,0.2747,0.2063,0.201,0.2765,-0.00995,-0.05733,0,0.4187,0.3072,0.2742,0.037,0.1029,-0.03625,-0.38169,0.774,35.276,0.5316,0.2646,0.2039,0.455,0.3182,0.2269,0.3333,0.3333,0.3333,0.4957,0.2904,0.2139,0.5558,0.26,0.1841,0.5226,0.2648,0.2126,1.0052,0.995,0.9819,1.0006,0.9989,0.9878,1.0,1.0,1.0,1.0008,1.0003,0.9992,1.0003,0.9999,0.9988,1.0002,1.0002,0.9999,35.096,0.0,0.179,0.179,46.166,17.568,74.259
17,2026-05-14T17:30:59.789579+00:00,browsing,GND,17.438,21.558,21.558,0.491,0.509,34.57,30.364,0.4676,0.5324,0.7665,0.4322,1,0.4957,0.2904,0.2139,0.283,0.2972,-0.02172,-0.06886,1,0.5558,0.26,0.1841,1.064,0.2575,0.07644,0.23696,1,0.5226,0.2648,0.2126,0.112,0.1821,-0.02883,-0.15375,1.459,31.823,0.5316,0.2646,0.2039,0.455,0.3182,0.2269,0.3333,0.3333,0.3333,0.5216,0.2824,0.196,0.5968,0.2384,0.1648,0.6073,0.2297,0.163,1.0052,0.995,0.9819,1.0006,0.9989,0.9878,1.0,1.0,1.0,1.0009,1.0004,0.999,1.0003,0.9995,0.9985,1.0003,1.0003,1.0,30.958,0.0,0.865,0.865,46.166,18.433,75.124
18,2026-05-14T17:31:05.800646+00:00,browsing,GND,19.079,29.368,29.368,0.4821,0.5179,37.062,38.251,0.5079,0.4921,0.7776,0.4371,1,0.5216,0.2824,0.196,0.153,0.2963,-0.03469,-0.11241,0,0.5968,0.2384,0.1648,0.341,0.2733,0.00406,0.02249,0,0.6073,0.2297,0.163,0.079,0.1029,-0.0321,-0.32987,0.573,38.824,0.5316,0.2646,0.2039,0.455,0.3182,0.2269,0.3333,0.3333,0.3333,0.5462,0.2752,0.1787,0.6264,0.2261,0.1474,0.6935,0.1871,0.1194,1.0052,0.995,0.9819,1.0006,0.9989,0.9878,1.0,1.0,1.0,1.001,1.0007,0.9988,1.0003,0.9995,0.9983,1.0004,1.0004,1.0,38.845,1.189,0.0,0.0,47.354,18.433,75.124
22,2026-05-14T17:31:29.827206+00:00,browsing,GND,20.537,25.894,25.894,0.4676,0.5324,42.109,35.093,0.4546,0.5454,0.8146,0.4564,0,0.5462,0.2752,0.1787,0.279,0.3155,-0.02214,-0.10199,0,0.6264,0.2261,0.1474,0.234,0.2645,-0.00663,-0.03782,0,0.6935,0.1871,0.1194,0.053,0.1029,-0.03467,-0.36176,0.566,35.658,0.5901,0.2419,0.168,0.4996,0.3046,0.1958,0.3505,0.314,0.3355,0.572,0.2649,0.163,0.6588,0.2113,0.1299,0.7711,0.1455,0.0835,1.0071,0.9955,0.9774,1.0016,0.9989,0.9848,1.0016,0.9968,1.0011,1.0011,1.0008,0.9986,1.0003,0.9995,0.9981,1.0005,1.0004,1.0,35.684,0.0,0.0,0.0,65.314,24.782,103.662
23,2026-05-14T17:31:35.835015+00:00,browsing,GND,16.893,29.019,29.019,0.4603,0.5397,39.353,38.298,0.4932,0.5068,0.8219,0.4612,1,0.572,0.2649,0.163,0.14,0.2939,-0.03603,-0.11703,0,0.6588,0.2113,0.1299,0.114,0.2618,-0.01858,-0.10993,2,0.7711,0.1455,0.0835,0.675,0.2755,0.02753,0.08609,0.929,39.227,0.5901,0.2419,0.168,0.4996,0.3046,0.1958,0.3505,0.314,0.3355,0.5955,0.2568,0.1477,0.6942,0.1936,0.1122,0.8273,0.1145,0.0582,1.0071,0.9955,0.9774,1.0016,0.9989,0.9848,1.0016,0.9968,1.0011,1.0012,1.001,0.9984,1.0004,0.9995,0.9979,1.0006,1.0005,0.9998,38.888,0.0,0.339,0.339,65.314,25.121,104.001
24,2026-05-14T17:31:41.847333+00:00,browsing,GND,13.759,28.644,28.644,0.458,0.542,37.07,38.005,0.5062,0.4938,0.8284,0.4658,0,0.5955,0.2568,0.1477,0.145,0.3103,-0.03555,-0.1693,0,0.6942,0.1936,0.1122,0.22,0.259,-0.00805,-0.04613,2,0.8273,0.1145,0.0582,0.489,0.2755,0.00892,0.02872,0.853,38.858,0.5901,0.2419,0.168,0.4996,0.3046,0.1958,0.3505,0.314,0.3355,0.6241,0.2433,0.1325,0.7234,0.1789,0.0977,0.8713,0.0884,0.0402,1.0071,0.9955,0.9774,1.0016,0.9989,0.9848,1.0016,0.9968,1.0011,1.0014,1.0011,0.9983,1.0004,0.9994,0.9976,1.0007,1.0006,0.9998,38.594,0.934,0.264,0.264,66.248,25.384,104.265
25,2026-05-14T17:31:47.862440+00:00,browsing,GND,32.203,31.612,31.612,0.4571,0.5429,56.313,41.054,0.4216,0.5784,0.8341,0.4704,0,0.6241,0.2433,0.1325,0.349,0.3074,-0.01508,-0.06834,2,0.7234,0.1789,0.0977,1.192,0.4449,0.08921,0.19714,2,0.8713,0.0884,0.0402,0.484,0.2755,0.00843,0.02714,2.026,43.08,0.5901,0.2419,0.168,0.4996,0.3046,0.1958,0.3505,0.314,0.3355,0.6461,0.2335,0.1204,0.7522,0.1643,0.0835,0.9052,0.0674,0.0274,1.0071,0.9955,0.9774,1.0016,0.9989,0.9848,1.0016,0.9968,1.0011,1.0015,1.0012,0.9981,1.0004,0.9994,0.997,1.0008,1.0007,0.9997,41.643,0.0,1.437,1.437,66.248,26.821,105.702
