ho_id,timestamp,task_type,path,isl_ms,gnd_ms,prop_ms,path_p_isl,path_p_gnd,access_cost_isl,access_cost_gnd,inv_cost_p_isl,inv_cost_p_gnd,trgsat_bg,tn_bg,amf_inst,amf_p0,amf_p1,amf_p2,amf_ms,amf_rho,amf_x,amf_cost,smf_inst,smf_p0,smf_p1,smf_p2,smf_ms,smf_rho,smf_x,smf_cost,upf_inst,upf_p0,upf_p1,upf_p2,upf_ms,upf_rho,upf_x,upf_cost,core_ms,total_ms,on_amf_p0,on_amf_p1,on_amf_p2,on_smf_p0,on_smf_p1,on_smf_p2,on_upf_p0,on_upf_p1,on_upf_p2,gnd_amf_p0,gnd_amf_p1,gnd_amf_p2,gnd_smf_p0,gnd_smf_p1,gnd_smf_p2,gnd_upf_p0,gnd_upf_p1,gnd_upf_p2,on_amf_B0,on_amf_B1,on_amf_B2,on_smf_B0,on_smf_B1,on_smf_B2,on_upf_B0,on_upf_B1,on_upf_B2,gnd_amf_B0,gnd_amf_B1,gnd_amf_B2,gnd_smf_B0,gnd_smf_B1,gnd_smf_B2,gnd_upf_B0,gnd_upf_B1,gnd_upf_B2,global_oracle_ms,access_regret_ms,inst_regret_ms,global_regret_ms,cum_access_regret_ms,cum_inst_regret_ms,cum_global_regret_ms
1,2026-05-14T16:56:39.708334+00:00,youtube,GND,16.107,40.227,40.227,0.5,0.5,24.528,47.919,0.6614,0.3386,0.525,0.35,2,0.3333,0.3333,0.3333,0.225,0.3296,-0.12751,-0.32765,0,0.3333,0.3333,0.3333,0.127,0.2357,-0.08725,-0.6712,2,0.3333,0.3333,0.3333,0.057,0.2,-0.14432,-0.70516,0.409,48.328,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3994,0.3125,0.2882,0.4181,0.3041,0.2779,0.9667,0.0167,0.0167,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0012,1.0011,1.0016,1.0006,1.0005,1.0004,1.0071,1.0013,1.0017,26.955,23.391,0.0,21.373,23.391,0.0,21.373
4,2026-05-14T16:56:57.727598+00:00,youtube,GND,13.966,21.83,21.83,0.5389,0.4611,23.397,29.712,0.5595,0.4405,0.5758,0.3657,1,0.3994,0.3125,0.2882,0.21,0.2536,-0.12901,-0.50431,2,0.4181,0.3041,0.2779,0.395,0.3127,-0.06047,-0.16052,0,0.9667,0.0167,0.0167,0.082,0.1,-0.14185,-6.90776,0.687,30.399,0.671,0.176,0.153,0.4498,0.2876,0.2626,0.7734,0.0472,0.1795,0.4679,0.2923,0.2398,0.497,0.2735,0.2295,0.9667,0.0166,0.0166,1.0316,1.0111,1.0096,1.01,1.0047,1.0056,1.1802,1.0221,1.1098,1.0025,1.0025,1.0026,1.0011,1.001,1.001,1.4124,1.0027,1.0028,25.883,6.315,0.077,4.516,29.707,1.686,28.344
5,2026-05-14T16:57:03.799188+00:00,youtube,GND,35.248,21.576,21.576,0.5521,0.4479,45.065,29.524,0.3958,0.6042,0.5926,0.3709,1,0.4679,0.2923,0.2398,0.273,0.2513,-0.12266,-0.4733,0,0.497,0.2735,0.2295,0.203,0.2421,-0.0797,-0.59251,0,0.9667,0.0166,0.0166,0.182,0.1,-0.13184,-6.90776,0.658,30.182,0.671,0.176,0.153,0.4498,0.2876,0.2626,0.7734,0.0472,0.1795,0.5381,0.2662,0.1957,0.5758,0.2402,0.184,0.9667,0.0166,0.0166,1.0316,1.0111,1.0096,1.01,1.0047,1.0056,1.1802,1.0221,1.1098,1.0037,1.0038,1.0037,1.0016,1.0015,1.0015,1.7891,1.004,1.0039,30.134,0.0,0.048,0.048,29.707,1.734,28.392
8,2026-05-14T16:57:21.762017+00:00,youtube,GND,26.419,22.993,22.993,0.5278,0.4722,37.576,31.143,0.4532,0.5468,0.6415,0.3865,0,0.5381,0.2662,0.1957,0.283,0.2756,-0.12174,-0.76621,0,0.5758,0.2402,0.184,0.261,0.2445,-0.07389,-0.53552,0,0.9667,0.0166,0.0166,0.211,0.1,-0.12891,-6.90776,0.755,31.898,0.9667,0.0167,0.0167,0.5629,0.235,0.2021,0.9667,0.0166,0.0166,0.606,0.2364,0.1576,0.6441,0.2094,0.1465,0.9667,0.0166,0.0166,1.1239,1.0233,1.0193,1.0189,1.0083,1.0117,2.0,1.0446,1.2403,1.0049,1.0049,1.0047,1.0021,1.002,1.0019,2.0,1.0053,1.0051,31.755,0.0,0.143,0.143,40.453,3.726,44.554
9,2026-05-14T16:57:27.772684+00:00,youtube,GND,29.078,26.227,26.227,0.5179,0.4821,40.747,34.446,0.4581,0.5419,0.6572,0.3917,0,0.606,0.2364,0.1576,0.265,0.2771,-0.12354,-0.78489,1,0.6441,0.2094,0.1465,0.613,0.2063,-0.03873,-0.14601,0,0.9667,0.0166,0.0166,0.159,0.1,-0.13406,-6.90776,1.037,35.483,0.9667,0.0167,0.0167,0.5629,0.235,0.2021,0.9667,0.0166,0.0166,0.6714,0.2048,0.1238,0.7162,0.1714,0.1124,0.9667,0.0166,0.0166,1.1239,1.0233,1.0193,1.0189,1.0083,1.0117,2.0,1.0446,1.2403,1.0061,1.006,1.0057,1.0026,1.0023,1.0023,2.0,1.0067,1.0062,35.058,0.0,0.425,0.425,40.453,4.151,44.979
10,2026-05-14T16:57:33.777592+00:00,youtube,GND,16.307,25.57,25.57,0.5107,0.4893,28.523,33.86,0.5428,0.4572,0.6725,0.3968,1,0.6714,0.2048,0.1238,0.738,0.2414,-0.07616,-0.2676,0,0.7162,0.1714,0.1124,0.163,0.245,-0.08366,-0.63484,0,0.9667,0.0166,0.0166,0.064,0.1,-0.14363,-6.90776,0.966,34.826,0.9667,0.0167,0.0167,0.5629,0.235,0.2021,0.9667,0.0166,0.0166,0.735,0.1691,0.0958,0.779,0.1382,0.0828,0.9667,0.0166,0.0166,1.1239,1.0233,1.0193,1.0189,1.0083,1.0117,2.0,1.0446,1.2403,1.0074,1.0067,1.0067,1.0032,1.0028,1.0028,2.0,1.008,1.0074,31.007,5.337,0.354,3.818,45.791,4.505,48.797
15,2026-05-14T16:58:03.815305+00:00,gaming,GND,16.088,28.895,28.895,0.5,0.5,31.62,37.55,0.5429,0.4571,0.7425,0.4223,1,0.735,0.1691,0.0958,0.609,0.1361,-0.08915,-0.32166,0,0.779,0.1382,0.0828,0.16,0.1885,-0.08398,-0.63872,0,0.3333,0.3333,0.3333,0.047,0.0229,-0.14532,-6.90776,0.816,38.365,0.9667,0.0166,0.0166,0.7894,0.1304,0.0802,0.3333,0.3333,0.3333,0.7896,0.1378,0.0726,0.831,0.1093,0.0597,0.4917,0.4917,0.0167,2.0,1.0514,1.0387,1.0416,1.0241,1.0231,1.0,1.0,1.0,1.0087,1.0075,1.0078,1.0037,1.0033,1.0033,1.1661,1.0073,1.0011,33.064,5.929,0.311,5.301,53.283,5.11,56.565
18,2026-05-14T16:58:21.840743+00:00,gaming,GND,29.467,26.399,26.399,0.5123,0.4877,47.45,35.282,0.4265,0.5735,0.7776,0.4371,0,0.7896,0.1378,0.0726,0.36,0.2085,-0.11402,-0.7005,0,0.831,0.1093,0.0597,0.336,0.184,-0.06642,-0.46759,0,0.4917,0.4917,0.0167,0.126,0.0229,-0.13738,-6.90776,0.822,36.104,0.9667,0.0166,0.0166,0.9165,0.0553,0.0282,0.9667,0.0166,0.0166,0.8265,0.1175,0.056,0.863,0.0914,0.0456,0.4917,0.4917,0.0167,2.0,1.0705,1.0522,1.0631,1.0334,1.0302,2.0,1.1158,1.0227,1.0097,1.0086,1.0089,1.0041,1.0038,1.0038,1.3231,1.0157,1.0023,35.786,0.0,0.319,0.319,53.283,5.428,56.883
23,2026-05-14T16:58:51.876768+00:00,gaming,GND,11.076,21.461,21.461,0.471,0.529,33.536,30.74,0.4783,0.5217,0.8219,0.4612,0,0.8265,0.1175,0.056,0.195,0.1987,-0.13053,-0.86136,0,0.863,0.0914,0.0456,0.069,0.1725,-0.09313,-0.74248,1,0.4917,0.4917,0.0167,0.189,0.0571,-0.13111,-2.7686,0.452,31.193,0.9667,0.0166,0.0166,0.9624,0.0209,0.0167,0.9667,0.0167,0.0167,0.867,0.0929,0.0401,0.9027,0.0669,0.0304,0.4917,0.4917,0.0167,2.0,1.1113,1.0788,1.0877,1.0537,1.0439,2.0,2.0,1.0688,1.0111,1.0098,1.01,1.0048,1.0044,1.0042,1.4879,1.0212,1.0034,31.241,0.0,0.0,0.0,82.97,6.17,89.897
24,2026-05-14T16:58:57.883304+00:00,gaming,GND,14.015,25.885,25.885,0.4655,0.5345,37.327,35.246,0.4857,0.5143,0.8284,0.4658,0,0.867,0.0929,0.0401,0.325,0.196,-0.11745,-0.73427,0,0.9027,0.0669,0.0304,0.148,0.1697,-0.08517,-0.65306,1,0.4917,0.4917,0.0167,0.24,0.0571,-0.12598,-2.34102,0.714,35.959,0.9667,0.0166,0.0166,0.9624,0.0209,0.0167,0.9667,0.0167,0.0167,0.8932,0.0768,0.03,0.9284,0.0506,0.021,0.7896,0.1937,0.0167,2.0,1.1113,1.0788,1.0877,1.0537,1.0439,2.0,2.0,1.0688,1.0122,1.011,1.0111,1.0054,1.0049,1.0047,1.6528,1.0248,1.0046,35.746,0.0,0.214,0.214,82.97,6.384,90.111
