ho_id,timestamp,task_type,path,isl_ms,gnd_ms,prop_ms,path_p_isl,path_p_gnd,access_cost_isl,access_cost_gnd,inv_cost_p_isl,inv_cost_p_gnd,trgsat_bg,tn_bg,amf_inst,amf_p0,amf_p1,amf_p2,amf_ms,amf_rho,amf_x,amf_cost,smf_inst,smf_p0,smf_p1,smf_p2,smf_ms,smf_rho,smf_x,smf_cost,upf_inst,upf_p0,upf_p1,upf_p2,upf_ms,upf_rho,upf_x,upf_cost,core_ms,total_ms,on_amf_p0,on_amf_p1,on_amf_p2,on_smf_p0,on_smf_p1,on_smf_p2,on_upf_p0,on_upf_p1,on_upf_p2,gnd_amf_p0,gnd_amf_p1,gnd_amf_p2,gnd_smf_p0,gnd_smf_p1,gnd_smf_p2,gnd_upf_p0,gnd_upf_p1,gnd_upf_p2,on_amf_B0,on_amf_B1,on_amf_B2,on_smf_B0,on_smf_B1,on_smf_B2,on_upf_B0,on_upf_B1,on_upf_B2,gnd_amf_B0,gnd_amf_B1,gnd_amf_B2,gnd_smf_B0,gnd_smf_B1,gnd_smf_B2,gnd_upf_B0,gnd_upf_B1,gnd_upf_B2,global_oracle_ms,access_regret_ms,inst_regret_ms,global_regret_ms,cum_access_regret_ms,cum_inst_regret_ms,cum_global_regret_ms
1,2026-05-14T16:26:38.834147+00:00,gaming,GND,17.191,40.368,40.368,0.5,0.5,25.612,48.06,0.6523,0.3477,0.525,0.35,1,0.3333,0.3333,0.3333,0.357,0.1627,0.01071,0.03227,0,0.3333,0.3333,0.3333,0.082,0.1821,-0.00675,-0.03854,2,0.3333,0.3333,0.3333,0.212,0.1469,0.0012,0.00327,0.652,48.712,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3543,0.3301,0.3156,0.3677,0.3244,0.3079,0.5538,0.2484,0.1978,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999,0.9998,1.0,0.9999,0.9998,1.0,1.0,1.0,27.106,22.448,0.151,21.605,22.448,0.151,21.605
2,2026-05-14T16:26:44.841520+00:00,gaming,GND,40.084,43.448,43.448,0.5264,0.4736,48.818,51.203,0.5119,0.4881,0.542,0.3552,2,0.3543,0.3301,0.3156,0.266,0.1946,0.00156,0.00341,2,0.3677,0.3244,0.3079,0.226,0.1848,0.00759,0.01842,0,0.5538,0.2484,0.1978,0.014,0.0229,-0.01861,-0.39418,0.505,51.708,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.375,0.3257,0.2993,0.3982,0.3156,0.2862,0.7769,0.1369,0.0862,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999,0.9998,1.0,0.9998,0.9997,1.0001,1.0,0.9998,50.328,2.386,0.004,1.38,24.833,0.156,22.986
3,2026-05-14T16:26:50.845778+00:00,gaming,GND,17.964,25.851,25.851,0.5269,0.4731,27.034,33.67,0.5547,0.4453,0.559,0.3605,1,0.375,0.3257,0.2993,0.247,0.1579,-0.00031,-0.00094,2,0.3982,0.3156,0.2862,0.411,0.1874,0.02614,0.06205,0,0.7769,0.1369,0.0862,0.088,0.0229,-0.01123,-0.21893,0.746,34.416,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3961,0.3222,0.2817,0.4301,0.3061,0.2638,0.8867,0.0756,0.0377,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999,0.9995,1.0,0.9997,0.9995,1.0001,1.0,0.9997,28.558,6.636,0.244,5.857,31.469,0.4,28.843
13,2026-05-14T16:27:50.917545+00:00,gaming,GND,30.052,21.666,21.666,0.5538,0.4462,44.138,30.172,0.406,0.594,0.716,0.4122,1,0.3961,0.3222,0.2817,0.868,0.1387,0.06176,0.17316,0,0.4301,0.3061,0.2638,0.302,0.1904,0.01516,0.08148,0,0.8867,0.0756,0.0377,0.04,0.0229,-0.01598,-0.32797,1.209,31.382,0.44,0.3047,0.2553,0.4191,0.3235,0.2574,0.7009,0.1807,0.1183,0.4207,0.3128,0.2665,0.4587,0.2977,0.2435,0.9488,0.0345,0.0167,1.0001,0.9985,0.9961,0.9992,0.9988,0.9954,1.0044,1.0017,0.9755,1.0,0.9995,0.9993,0.9999,0.9997,0.9993,1.0001,1.0001,0.9996,30.677,0.0,0.705,0.705,74.336,9.293,86.413
16,2026-05-14T16:28:08.947972+00:00,gaming,GND,19.069,24.95,24.95,0.5223,0.4777,35.383,33.68,0.4877,0.5123,0.7548,0.4273,2,0.4207,0.3128,0.2665,0.699,0.2352,0.0449,0.09359,2,0.4587,0.2977,0.2435,0.574,0.2243,0.04242,0.09878,0,0.9488,0.0345,0.0167,0.029,0.0229,-0.01713,-0.35636,1.302,34.982,0.4658,0.2978,0.2364,0.442,0.318,0.24,0.7666,0.1459,0.0875,0.4433,0.3074,0.2493,0.4916,0.2866,0.2218,0.9667,0.0167,0.0167,1.0002,0.9986,0.9943,0.9993,0.9986,0.9942,1.0053,1.0014,0.9696,1.0,0.9995,0.9989,0.9999,0.9996,0.9989,1.0001,1.0001,0.9994,34.184,0.0,0.798,0.798,97.3,12.291,114.278
17,2026-05-14T16:28:14.952093+00:00,gaming,GND,17.291,28.671,28.671,0.5192,0.4808,34.423,37.477,0.5212,0.4788,0.7665,0.4322,1,0.4433,0.3074,0.2493,0.696,0.1339,0.04465,0.12806,1,0.4916,0.2866,0.2218,0.065,0.1147,-0.0085,-0.03021,0,0.9667,0.0167,0.0167,0.049,0.0229,-0.01513,-0.30766,0.81,38.287,0.4658,0.2978,0.2364,0.442,0.318,0.24,0.7666,0.1459,0.0875,0.4676,0.2981,0.2343,0.522,0.2773,0.2007,0.9667,0.0167,0.0167,1.0002,0.9986,0.9943,0.9993,0.9986,0.9942,1.0053,1.0014,0.9696,1.0,0.9992,0.9986,0.9999,0.9996,0.9987,1.0001,1.0001,0.9993,35.822,3.053,0.307,2.465,100.353,12.598,116.743
22,2026-05-14T16:28:45.476917+00:00,gaming,GND,12.399,21.71,21.71,0.5109,0.4891,33.971,30.909,0.4764,0.5236,0.8146,0.4564,1,0.4676,0.2981,0.2343,0.109,0.1309,-0.01413,-0.04421,0,0.522,0.2773,0.2007,0.215,0.1752,0.00651,0.03579,0,0.9667,0.0167,0.0167,0.046,0.0229,-0.01544,-0.31496,0.369,31.278,0.5166,0.2818,0.2016,0.4848,0.3085,0.2068,0.8757,0.0829,0.0413,0.4885,0.2937,0.2179,0.5533,0.2649,0.1818,0.9667,0.0167,0.0167,1.0007,0.9993,0.9924,0.9993,0.9985,0.9916,1.0079,1.0014,0.9577,1.0,0.9993,0.9984,0.9999,0.9995,0.9984,1.0002,1.0001,0.9991,31.41,0.0,0.0,0.0,120.627,14.221,140.997
23,2026-05-14T16:28:51.465839+00:00,gaming,GND,19.597,25.224,25.224,0.5051,0.4949,42.056,34.503,0.4507,0.5493,0.8219,0.4612,1,0.4885,0.2937,0.2179,0.037,0.1307,-0.02134,-0.06756,1,0.5533,0.2649,0.1818,0.381,0.115,0.02309,0.07767,0,0.9667,0.0167,0.0167,0.051,0.0229,-0.01488,-0.30163,0.469,34.971,0.5166,0.2818,0.2016,0.4848,0.3085,0.2068,0.8757,0.0829,0.0413,0.5086,0.2894,0.202,0.5855,0.2506,0.1639,0.9667,0.0167,0.0167,1.0007,0.9993,0.9924,0.9993,0.9985,0.9916,1.0079,1.0014,0.9577,1.0,0.9995,0.9981,0.9999,0.9994,0.9982,1.0002,1.0001,0.999,35.003,0.0,0.0,0.0,120.627,14.221,140.997
25,2026-05-14T16:29:03.478253+00:00,gaming,GND,17.358,25.254,25.254,0.4897,0.5103,41.467,34.696,0.4555,0.5445,0.8341,0.4704,0,0.5086,0.2894,0.202,0.218,0.1931,-0.00322,-0.0142,0,0.5855,0.2506,0.1639,0.16,0.1667,0.00098,0.00546,0,0.9667,0.0167,0.0167,0.076,0.0229,-0.01237,-0.24391,0.454,35.15,0.5308,0.276,0.1931,0.499,0.3032,0.1978,0.889,0.0753,0.0357,0.5316,0.2811,0.1873,0.6174,0.2362,0.1464,0.9667,0.0167,0.0167,1.0008,0.9991,0.9917,0.9996,0.9984,0.9909,1.0081,1.0016,0.9547,1.0,0.9994,0.9979,0.9999,0.9993,0.9979,1.0002,1.0001,0.9988,35.195,0.0,0.0,0.0,135.451,14.757,157.128
27,2026-05-14T16:29:15.495829+00:00,gaming,GND,27.317,37.254,37.254,0.4654,0.5346,52.778,46.86,0.4703,0.5297,0.8429,0.4795,0,0.5316,0.2811,0.1873,0.263,0.1867,0.00134,0.00586,0,0.6174,0.2362,0.1464,0.137,0.1603,-0.00129,-0.00723,0,0.9667,0.0167,0.0167,0.06,0.0229,-0.01396,-0.28023,0.461,47.321,0.5434,0.2724,0.1842,0.5061,0.3021,0.1918,0.9048,0.0656,0.0296,0.5532,0.273,0.1738,0.649,0.221,0.13,0.9667,0.0167,0.0167,1.001,0.9996,0.991,0.9993,0.9982,0.9902,1.0086,1.0018,0.9518,1.0,0.9993,0.9976,0.9999,0.9993,0.9977,1.0002,1.0002,0.9987,47.358,0.0,0.0,0.0,159.768,15.058,182.503
