ho_id,timestamp,task_type,path,isl_ms,gnd_ms,prop_ms,path_p_isl,path_p_gnd,access_cost_isl,access_cost_gnd,trgsat_bg,tn_bg,amf_inst,amf_p0,amf_p1,amf_p2,amf_ms,amf_rho,amf_x,amf_cost,smf_inst,smf_p0,smf_p1,smf_p2,smf_ms,smf_rho,smf_x,smf_cost,upf_inst,upf_p0,upf_p1,upf_p2,upf_ms,upf_rho,upf_x,upf_cost,core_ms,total_ms,on_amf_p0,on_amf_p1,on_amf_p2,on_smf_p0,on_smf_p1,on_smf_p2,on_upf_p0,on_upf_p1,on_upf_p2,gnd_amf_p0,gnd_amf_p1,gnd_amf_p2,gnd_smf_p0,gnd_smf_p1,gnd_smf_p2,gnd_upf_p0,gnd_upf_p1,gnd_upf_p2,global_oracle_ms,access_regret_ms,inst_regret_ms,global_regret_ms,cum_access_regret_ms,cum_inst_regret_ms,cum_global_regret_ms
5,2026-05-10T22:24:19.791689+00:00,gaming,ISL,18.09,25.416,18.09,0.2334,0.7666,31.362,29.095,0.5926,0.3709,0,0.3333,0.3333,0.3333,1.115,0.5333,-0.38853,-1.30376,0,0.3333,0.3333,0.3333,1.164,0.4167,-0.38355,-2.53231,1,0.3333,0.3333,0.3333,1.878,0.6528,-0.31219,-0.65056,4.157,35.52,0.3673,0.327,0.3057,0.4583,0.2854,0.2563,0.9673,0.0163,0.0163,0.4918,0.4918,0.0164,0.4918,0.4918,0.0164,0.3333,0.3333,0.3333,29.682,2.268,1.793,5.838,18.152,2.77,20.922
7,2026-05-10T22:24:39.810888+00:00,gaming,ISL,15.156,20.285,15.156,0.2148,0.7852,29.505,24.018,0.6254,0.3813,1,0.3673,0.327,0.3057,2.288,0.7619,-0.27117,-0.43991,2,0.4583,0.2854,0.2563,4.955,0.8333,-0.00449,-0.00541,0,0.9673,0.0163,0.0163,0.491,0.4352,-0.45092,-6.90776,7.734,37.239,0.4037,0.3196,0.2766,0.9675,0.0163,0.0163,0.9677,0.0161,0.0161,0.4918,0.4918,0.0164,0.4918,0.4918,0.0164,0.3333,0.3333,0.3333,24.605,5.487,5.37,12.634,23.668,8.27,33.686
11,2026-05-10T22:25:19.902670+00:00,youtube,ISL,15.905,25.729,15.905,0.5,0.5,32.905,29.574,0.6875,0.402,1,0.4037,0.3196,0.2766,2.22,0.7619,-0.27799,-0.45391,0,0.9675,0.0163,0.0163,0.584,0.4167,-0.44163,-6.90776,0,0.9677,0.0161,0.0161,999.0,1.6728,99.4,4.10132,1001.804,1034.709,0.4407,0.3106,0.2486,0.9677,0.0161,0.0161,0.9667,0.0166,0.0166,0.4918,0.4918,0.0164,0.4918,0.4918,0.0164,0.3333,0.3333,0.3333,30.632,3.332,1.105,1004.077,27.0,10.927,1039.315
14,2026-05-10T22:25:49.905554+00:00,youtube,ISL,19.365,25.977,19.365,0.4336,0.5664,38.851,29.909,0.7295,0.4172,0,0.4407,0.3106,0.2486,0.904,0.5333,-0.40961,-1.4611,0,0.9677,0.0161,0.0161,1.463,0.4167,-0.35371,-1.88976,0,0.9667,0.0166,0.0166,999.0,1.6728,99.4,4.10132,1001.367,1040.218,0.4847,0.2948,0.2206,0.9669,0.0165,0.0165,0.9667,0.0167,0.0167,0.4918,0.4918,0.0164,0.4918,0.4918,0.0164,0.9677,0.0161,0.0161,30.968,8.942,0.668,1009.25,35.942,14.211,2051.181
15,2026-05-10T22:25:59.906728+00:00,youtube,ISL,6.338,15.842,6.338,0.4702,0.5298,26.753,19.804,0.7425,0.4223,0,0.4847,0.2948,0.2206,0.92,0.5333,-0.40803,-1.44838,0,0.9669,0.0165,0.0165,0.367,0.4167,-0.46327,-6.90776,0,0.9667,0.0167,0.0167,999.0,1.6728,99.4,4.10132,1000.287,1027.04,0.5279,0.2778,0.1943,0.9677,0.0161,0.0161,0.9666,0.0167,0.0167,0.4918,0.4918,0.0164,0.4918,0.4918,0.0164,0.9677,0.0161,0.0161,20.862,6.949,0.0,1006.178,42.891,14.211,3057.358
21,2026-05-10T22:26:59.990375+00:00,browsing,ISL,20.556,14.635,20.556,0.5,0.5,47.39,18.783,0.8065,0.4517,0,0.5279,0.2778,0.1943,0.514,0.5333,-0.4486,-1.83958,0,0.9677,0.0161,0.0161,0.769,0.4167,-0.42311,-6.90776,0,0.9666,0.0167,0.0167,999.0,1.5278,99.4,4.19059,1000.283,1047.673,0.5952,0.2448,0.16,0.9677,0.0161,0.0161,0.9666,0.0167,0.0167,0.4918,0.4918,0.0164,0.4918,0.4918,0.0164,0.9677,0.0161,0.0161,19.769,28.607,0.0,1027.904,71.498,15.962,4087.014
22,2026-05-10T22:27:10.007588+00:00,browsing,ISL,13.87,23.096,13.87,0.5295,0.4705,41.836,27.276,0.8146,0.4564,1,0.5952,0.2448,0.16,2.73,0.7619,-0.22698,-0.35369,0,0.9677,0.0161,0.0161,0.545,0.4167,-0.44554,-6.90776,0,0.9666,0.0167,0.0167,999.0,1.5278,99.4,4.19059,1002.275,1044.111,0.631,0.2293,0.1397,0.9677,0.0161,0.0161,0.9666,0.0167,0.0167,0.4918,0.4918,0.0164,0.4918,0.4918,0.0164,0.9677,0.0161,0.0161,28.262,14.56,1.576,1015.848,86.058,17.539,5102.862
23,2026-05-10T22:27:20.023610+00:00,browsing,ISL,9.91,21.3,9.91,0.5631,0.4369,38.984,25.512,0.8219,0.4612,0,0.631,0.2293,0.1397,0.661,0.5333,-0.43386,-1.67929,0,0.9677,0.0161,0.0161,0.268,0.4167,-0.47315,-6.90776,0,0.9666,0.0167,0.0167,999.0,1.5278,99.4,4.19059,999.93,1038.914,0.6817,0.2028,0.1155,0.9677,0.0161,0.0161,0.9666,0.0167,0.0167,0.4918,0.4918,0.0164,0.4918,0.4918,0.0164,0.9677,0.0161,0.0161,26.498,13.473,0.0,1012.416,99.531,17.539,6115.278
27,2026-05-10T22:28:00.422978+00:00,browsing,ISL,19.489,22.942,19.489,0.4281,0.5719,52.315,27.284,0.8429,0.4795,0,0.6817,0.2028,0.1155,0.779,0.5333,-0.42212,-1.5677,0,0.9677,0.0161,0.0161,0.297,0.4167,-0.47026,-6.90776,0,0.9666,0.0167,0.0167,999.0,1.5278,99.4,4.19059,1000.076,1052.391,0.7225,0.1811,0.0964,0.9677,0.0161,0.0161,0.9666,0.0167,0.0168,0.4918,0.4918,0.0164,0.4918,0.4918,0.0164,0.9677,0.0161,0.0161,28.271,25.031,0.0,1024.12,124.561,20.074,7141.933
28,2026-05-10T22:28:10.437947+00:00,browsing,ISL,11.762,19.975,11.762,0.4541,0.5459,45.229,24.35,0.846,0.484,0,0.7225,0.1811,0.0964,1.091,0.5333,-0.39087,-1.32005,0,0.9677,0.0161,0.0161,0.404,0.4167,-0.45955,-6.90776,0,0.9666,0.0167,0.0168,999.0,1.5278,99.4,4.19059,1000.496,1045.725,0.7501,0.1669,0.083,0.9677,0.0161,0.0161,0.9665,0.0167,0.0168,0.4918,0.4918,0.0164,0.4918,0.4918,0.0164,0.9677,0.0161,0.0161,25.337,20.879,0.0,1020.388,145.44,20.074,8162.321
