ho_id,timestamp,task_type,path,isl_ms,gnd_ms,prop_ms,path_p_isl,path_p_gnd,access_cost_isl,access_cost_gnd,inv_cost_p_isl,inv_cost_p_gnd,trgsat_bg,tn_bg,amf_inst,amf_p0,amf_p1,amf_p2,amf_ms,amf_rho,amf_x,amf_cost,smf_inst,smf_p0,smf_p1,smf_p2,smf_ms,smf_rho,smf_x,smf_cost,upf_inst,upf_p0,upf_p1,upf_p2,upf_ms,upf_rho,upf_x,upf_cost,core_ms,total_ms,on_amf_p0,on_amf_p1,on_amf_p2,on_smf_p0,on_smf_p1,on_smf_p2,on_upf_p0,on_upf_p1,on_upf_p2,gnd_amf_p0,gnd_amf_p1,gnd_amf_p2,gnd_smf_p0,gnd_smf_p1,gnd_smf_p2,gnd_upf_p0,gnd_upf_p1,gnd_upf_p2,on_amf_B0,on_amf_B1,on_amf_B2,on_smf_B0,on_smf_B1,on_smf_B2,on_upf_B0,on_upf_B1,on_upf_B2,gnd_amf_B0,gnd_amf_B1,gnd_amf_B2,gnd_smf_B0,gnd_smf_B1,gnd_smf_B2,gnd_upf_B0,gnd_upf_B1,gnd_upf_B2,global_oracle_ms,access_regret_ms,inst_regret_ms,global_regret_ms,cum_access_regret_ms,cum_inst_regret_ms,cum_global_regret_ms
4,2026-05-14T16:26:56.848969+00:00,gaming,ISL,11.675,21.821,11.675,0.5377,0.4623,21.106,29.703,0.5846,0.4154,0.5758,0.3657,1,0.3333,0.3333,0.3333,2.834,0.338,0.21337,0.33606,2,0.3333,0.3333,0.3333,0.348,0.2556,-0.01517,-0.02536,0,0.3333,0.3333,0.3333,0.104,0.1111,-0.08963,-0.38995,3.286,24.391,0.348,0.3253,0.3266,0.3419,0.3318,0.3263,0.3797,0.3174,0.3029,0.3961,0.3222,0.2817,0.4301,0.3061,0.2638,0.8867,0.0756,0.0377,1.0001,0.9984,0.9995,0.9999,0.9998,1.0002,1.0007,1.0002,0.997,1.0,0.9999,0.9995,1.0,0.9997,0.9995,1.0001,1.0,0.9997,22.642,0.0,1.75,1.75,31.469,2.15,30.592
5,2026-05-14T16:27:02.856367+00:00,gaming,ISL,29.805,26.365,29.805,0.5698,0.4302,39.623,34.313,0.4641,0.5359,0.5926,0.3709,1,0.348,0.3253,0.3266,0.422,0.3292,-0.0278,-0.05345,2,0.3419,0.3318,0.3263,3.279,0.2591,0.27788,0.37674,0,0.3797,0.3174,0.3029,0.488,0.1111,-0.05124,-0.20416,4.188,43.811,0.3593,0.3242,0.3166,0.3537,0.333,0.3133,0.4173,0.305,0.2776,0.3961,0.3222,0.2817,0.4301,0.3061,0.2638,0.8867,0.0756,0.0377,1.0001,0.9987,0.999,0.9998,0.9997,0.9979,1.0011,1.0004,0.9941,1.0,0.9999,0.9995,1.0,0.9997,0.9995,1.0001,1.0,0.9997,34.816,5.309,2.644,8.995,36.778,4.794,39.588
6,2026-05-14T16:27:08.862504+00:00,gaming,ISL,36.416,29.589,36.416,0.5638,0.4362,46.649,37.603,0.4463,0.5537,0.6091,0.3761,2,0.3593,0.3242,0.3166,1.327,0.2683,0.0627,0.08974,2,0.3537,0.333,0.3133,0.832,0.2629,0.03317,0.05315,0,0.4173,0.305,0.2776,0.594,0.1111,-0.04056,-0.15807,2.753,49.402,0.3718,0.3212,0.307,0.3632,0.3318,0.305,0.4533,0.2926,0.254,0.3961,0.3222,0.2817,0.4301,0.3061,0.2638,0.8867,0.0756,0.0377,1.0002,0.9985,0.9983,0.9998,0.9995,0.9975,1.0013,1.0006,0.9911,1.0,0.9999,0.9995,1.0,0.9997,0.9995,1.0001,1.0,0.9997,38.106,9.046,1.204,11.296,45.824,5.997,50.883
7,2026-05-14T16:27:14.880002+00:00,gaming,ISL,31.886,25.514,31.886,0.5573,0.4427,42.565,33.596,0.4411,0.5589,0.6254,0.3813,1,0.3718,0.3212,0.307,0.377,0.3104,-0.03228,-0.06237,0,0.3632,0.3318,0.305,0.308,0.3269,-0.01925,-0.05337,0,0.4533,0.2926,0.254,0.527,0.1111,-0.0473,-0.187,1.212,43.777,0.383,0.3199,0.297,0.3755,0.3293,0.2952,0.4913,0.2783,0.2304,0.3961,0.3222,0.2817,0.4301,0.3061,0.2638,0.8867,0.0756,0.0377,1.0002,0.9988,0.9978,0.9999,0.9994,0.997,1.0017,1.0007,0.9882,1.0,0.9999,0.9995,1.0,0.9997,0.9995,1.0001,1.0,0.9997,34.099,8.969,0.0,9.678,54.793,5.997,60.561
8,2026-05-14T16:27:20.889793+00:00,gaming,ISL,37.031,30.469,37.031,0.5484,0.4516,48.187,38.619,0.4449,0.5551,0.6415,0.3865,2,0.383,0.3199,0.297,0.423,0.2719,-0.02768,-0.04232,2,0.3755,0.3293,0.2952,0.514,0.2715,0.00141,0.00232,0,0.4913,0.2783,0.2304,0.988,0.1111,-0.00123,-0.00446,1.925,50.112,0.3945,0.3159,0.2896,0.3849,0.3274,0.2878,0.5202,0.2681,0.2117,0.3961,0.3222,0.2817,0.4301,0.3061,0.2638,0.8867,0.0756,0.0377,1.0003,0.9987,0.9982,0.9999,0.9992,0.997,1.0017,1.0009,0.9852,1.0,0.9999,0.9995,1.0,0.9997,0.9995,1.0001,1.0,0.9997,39.123,9.568,0.376,10.989,64.362,6.373,71.55
9,2026-05-14T16:27:26.896484+00:00,gaming,ISL,33.7,33.711,33.7,0.5421,0.4579,45.368,41.93,0.4803,0.5197,0.6572,0.3917,0,0.3945,0.3159,0.2896,0.502,0.3511,-0.01984,-0.05351,0,0.3849,0.3274,0.2878,0.823,0.3069,0.03229,0.08357,0,0.5202,0.2681,0.2117,0.148,0.1111,-0.08525,-0.36761,1.472,46.84,0.4083,0.3117,0.28,0.393,0.3269,0.2801,0.5684,0.2462,0.1854,0.3961,0.3222,0.2817,0.4301,0.3061,0.2638,0.8867,0.0756,0.0377,1.0004,0.9985,0.9977,0.9997,0.9991,0.9964,1.0024,1.0011,0.9823,1.0,0.9999,0.9995,1.0,0.9997,0.9995,1.0001,1.0,0.9997,42.434,3.438,0.0,4.406,67.8,6.373,75.957
10,2026-05-14T16:27:32.902616+00:00,gaming,ISL,10.849,21.365,10.849,0.5396,0.4604,23.065,29.655,0.5625,0.4375,0.6725,0.3968,0,0.4083,0.3117,0.28,1.314,0.3524,0.06142,0.14949,2,0.393,0.3269,0.2801,0.488,0.281,-0.00121,-0.00199,2,0.5684,0.2462,0.1854,1.407,0.4444,0.04068,0.0353,3.209,26.274,0.4159,0.3106,0.2734,0.4026,0.3246,0.2728,0.6098,0.2268,0.1634,0.3961,0.3222,0.2817,0.4301,0.3061,0.2638,0.8867,0.0756,0.0377,1.0,0.9983,0.9972,0.9996,0.999,0.9965,1.0029,1.0013,0.9814,1.0,0.9999,0.9995,1.0,0.9997,0.9995,1.0001,1.0,0.9997,24.599,0.0,1.675,1.675,67.8,8.048,77.632
11,2026-05-14T16:27:38.904888+00:00,gaming,ISL,19.596,25.371,19.596,0.5585,0.4415,32.396,33.732,0.5101,0.4899,0.6875,0.402,1,0.4159,0.3106,0.2734,0.338,0.2721,-0.03619,-0.07018,1,0.4026,0.3246,0.2728,0.513,0.1978,0.00129,0.0027,0,0.6098,0.2268,0.1634,0.106,0.1111,-0.08937,-0.38993,0.957,33.354,0.4272,0.3089,0.2639,0.4126,0.3233,0.2641,0.6561,0.2039,0.1401,0.3961,0.3222,0.2817,0.4301,0.3061,0.2638,0.8867,0.0756,0.0377,1.0001,0.9987,0.9967,0.9996,0.9989,0.9959,1.0036,1.0015,0.9784,1.0,0.9999,0.9995,1.0,0.9997,0.9995,1.0001,1.0,0.9997,33.917,0.0,0.0,0.0,67.8,8.048,77.632
12,2026-05-14T16:27:44.911990+00:00,gaming,ISL,31.038,29.492,31.038,0.5589,0.4411,44.462,37.925,0.4603,0.5397,0.702,0.4071,1,0.4272,0.3089,0.2639,0.92,0.263,0.02205,0.04045,0,0.4126,0.3233,0.2641,1.064,0.2689,0.05636,0.14155,0,0.6561,0.2039,0.1401,0.06,0.1111,-0.09397,-0.41516,2.044,46.506,0.44,0.3047,0.2553,0.4191,0.3235,0.2574,0.7009,0.1807,0.1183,0.3961,0.3222,0.2817,0.4301,0.3061,0.2638,0.8867,0.0756,0.0377,1.0001,0.9985,0.9961,0.9992,0.9988,0.9954,1.0044,1.0017,0.9755,1.0,0.9999,0.9995,1.0,0.9997,0.9995,1.0001,1.0,0.9997,38.43,6.536,0.539,8.076,74.336,8.588,85.708
14,2026-05-14T16:27:56.931228+00:00,gaming,ISL,37.148,30.229,37.148,0.5384,0.4616,51.937,38.809,0.4277,0.5723,0.7295,0.4172,1,0.44,0.3047,0.2553,0.588,0.2464,-0.01119,-0.02117,0,0.4191,0.3235,0.2574,0.543,0.2412,0.0043,0.01153,0,0.7009,0.1807,0.1183,0.412,0.1111,-0.05876,-0.23898,1.543,53.48,0.4523,0.3015,0.2462,0.4296,0.3214,0.2491,0.7337,0.164,0.1023,0.4207,0.3128,0.2665,0.4587,0.2977,0.2435,0.9488,0.0345,0.0167,1.0001,0.9986,0.9956,0.9992,0.9987,0.9948,1.0048,1.0019,0.9725,1.0,0.9995,0.9993,0.9999,0.9997,0.9993,1.0001,1.0001,0.9996,39.313,13.128,0.077,14.167,87.464,9.37,100.581
15,2026-05-14T16:28:02.941395+00:00,gaming,ISL,29.042,26.084,29.042,0.5309,0.4691,44.574,34.738,0.438,0.562,0.7425,0.4223,2,0.4523,0.3015,0.2462,1.841,0.2983,0.11412,0.15718,0,0.4296,0.3214,0.2491,0.339,0.2274,-0.0161,-0.04442,1,0.7337,0.164,0.1023,1.387,0.237,0.03869,0.06334,3.567,48.141,0.4658,0.2978,0.2364,0.442,0.318,0.24,0.7666,0.1459,0.0875,0.4207,0.3128,0.2665,0.4587,0.2977,0.2435,0.9488,0.0345,0.0167,1.0002,0.9986,0.9943,0.9993,0.9986,0.9942,1.0053,1.0014,0.9696,1.0,0.9995,0.9993,0.9999,0.9997,0.9993,1.0001,1.0001,0.9996,35.242,9.836,2.123,12.899,97.3,11.493,113.48
18,2026-05-14T16:28:21.433844+00:00,gaming,ISL,15.58,26.716,15.58,0.5214,0.4786,33.563,35.599,0.5147,0.4853,0.7776,0.4371,1,0.4658,0.2978,0.2364,0.295,0.2221,-0.04046,-0.07881,0,0.442,0.318,0.24,0.336,0.1894,-0.01641,-0.0453,0,0.7666,0.1459,0.0875,0.051,0.1111,-0.0949,-0.4212,0.682,34.246,0.4778,0.2952,0.227,0.4545,0.3145,0.231,0.8015,0.1263,0.0721,0.4676,0.2981,0.2343,0.522,0.2773,0.2007,0.9667,0.0167,0.0167,1.0003,0.999,0.9937,0.9994,0.9985,0.9936,1.0061,1.0016,0.9666,1.0,0.9992,0.9986,0.9999,0.9996,0.9987,1.0001,1.0001,0.9993,34.939,0.0,0.0,0.0,100.353,12.598,116.743
19,2026-05-14T16:28:27.433170+00:00,gaming,ISL,21.084,26.181,21.084,0.5228,0.4772,39.946,35.142,0.468,0.532,0.7879,0.442,1,0.4778,0.2952,0.227,0.371,0.2183,-0.03287,-0.06356,0,0.4545,0.3145,0.231,0.647,0.1787,0.01474,0.03899,0,0.8015,0.1263,0.0721,0.198,0.1111,-0.08019,-0.34335,1.217,41.163,0.4901,0.292,0.2178,0.4642,0.3124,0.2234,0.8294,0.1105,0.0601,0.4676,0.2981,0.2343,0.522,0.2773,0.2007,0.9667,0.0167,0.0167,1.0004,0.9994,0.9931,0.9993,0.9983,0.9929,1.0067,1.0018,0.9636,1.0,0.9992,0.9986,0.9999,0.9996,0.9987,1.0001,1.0001,0.9993,35.645,4.803,0.0,5.517,105.156,12.598,122.26
20,2026-05-14T16:28:33.441834+00:00,gaming,ISL,28.419,38.73,28.419,0.5176,0.4824,48.179,47.769,0.4979,0.5021,0.7976,0.4469,2,0.4901,0.292,0.2178,1.014,0.3258,0.03143,0.04574,0,0.4642,0.3124,0.2234,0.538,0.1693,0.00376,0.01009,0,0.8294,0.1105,0.0601,0.132,0.1111,-0.0868,-0.37806,1.684,49.863,0.5034,0.287,0.2096,0.4749,0.3096,0.2155,0.8552,0.0954,0.0494,0.4676,0.2981,0.2343,0.522,0.2773,0.2007,0.9667,0.0167,0.0167,1.0005,0.9993,0.9927,0.9993,0.9982,0.9923,1.0074,1.002,0.9607,1.0,0.9992,0.9986,0.9999,0.9996,0.9987,1.0001,1.0001,0.9993,48.272,0.409,0.351,1.591,105.566,12.948,123.851
21,2026-05-14T16:28:39.446613+00:00,gaming,ISL,37.611,34.099,37.611,0.5171,0.4829,58.279,43.218,0.4258,0.5742,0.8065,0.4517,2,0.5034,0.287,0.2096,0.877,0.3317,0.01767,0.02597,1,0.4749,0.3096,0.2155,0.172,0.2067,-0.03277,-0.07118,1,0.8552,0.0954,0.0494,1.538,0.237,0.0538,0.08702,2.587,60.866,0.5166,0.2818,0.2016,0.4848,0.3085,0.2068,0.8757,0.0829,0.0413,0.4676,0.2981,0.2343,0.522,0.2773,0.2007,0.9667,0.0167,0.0167,1.0007,0.9993,0.9924,0.9993,0.9985,0.9916,1.0079,1.0014,0.9577,1.0,0.9992,0.9986,0.9999,0.9996,0.9987,1.0001,1.0001,0.9993,43.72,15.061,1.273,17.146,120.627,14.221,140.997
24,2026-05-14T16:28:57.479186+00:00,gaming,ISL,30.364,29.492,30.364,0.4977,0.5023,53.676,38.852,0.4199,0.5801,0.8284,0.4658,1,0.5166,0.2818,0.2016,0.871,0.2155,0.01713,0.03158,0,0.4848,0.3085,0.2068,0.18,0.1487,-0.03202,-0.09039,0,0.8757,0.0829,0.0413,0.756,0.1111,-0.02444,-0.09287,1.807,55.483,0.5308,0.276,0.1931,0.499,0.3032,0.1978,0.889,0.0753,0.0357,0.5086,0.2894,0.202,0.5855,0.2506,0.1639,0.9667,0.0167,0.0167,1.0008,0.9991,0.9917,0.9996,0.9984,0.9909,1.0081,1.0016,0.9547,1.0,0.9995,0.9981,0.9999,0.9994,0.9982,1.0002,1.0001,0.999,39.352,14.824,0.536,16.131,135.451,14.757,157.128
26,2026-05-14T16:29:09.482616+00:00,gaming,ISL,30.882,21.874,30.882,0.483,0.517,55.715,31.398,0.3604,0.6396,0.8389,0.475,1,0.5308,0.276,0.1931,0.237,0.2221,-0.04632,-0.09083,0,0.499,0.3032,0.1978,1.012,0.1497,0.05118,0.12934,0,0.889,0.0753,0.0357,0.308,0.1111,-0.06925,-0.28961,1.556,57.271,0.5434,0.2724,0.1842,0.5061,0.3021,0.1918,0.9048,0.0656,0.0296,0.5316,0.2811,0.1873,0.6174,0.2362,0.1464,0.9667,0.0167,0.0167,1.001,0.9996,0.991,0.9993,0.9982,0.9902,1.0086,1.0018,0.9518,1.0,0.9994,0.9979,0.9999,0.9993,0.9979,1.0002,1.0001,0.9988,31.897,24.317,0.301,25.375,159.768,15.058,182.503
29,2026-05-14T16:29:27.511112+00:00,gaming,ISL,31.177,29.385,31.177,0.4563,0.5437,57.531,39.158,0.405,0.595,0.8482,0.4883,1,0.5434,0.2724,0.1842,2.286,0.2391,0.15859,0.25994,2,0.5061,0.3021,0.1918,0.921,0.3673,0.04208,0.06646,0,0.9048,0.0656,0.0296,1.823,0.1111,0.08234,0.26149,5.03,62.561,0.5605,0.2627,0.1768,0.5174,0.2979,0.1847,0.9105,0.0626,0.0269,0.5739,0.264,0.1621,0.6817,0.2043,0.114,0.9667,0.0167,0.0167,1.0012,0.9983,0.9902,0.9993,0.998,0.9898,1.0082,1.002,0.9488,1.0,0.9993,0.9977,0.9999,0.9992,0.9974,1.0003,1.0002,0.9986,39.654,18.374,3.778,22.908,178.142,18.837,205.41
31,2026-05-14T16:29:39.528343+00:00,instagram,ISL,18.397,25.899,18.397,0.4917,0.5083,45.064,35.838,0.443,0.557,0.85,0.4969,1,0.5605,0.2627,0.1768,1.114,0.5744,0.04136,0.07454,0,0.5174,0.2979,0.1847,0.311,0.4061,-0.01892,-0.05241,2,0.3333,0.3333,0.3333,2.567,0.6667,0.15666,0.21074,3.991,49.055,0.5755,0.2579,0.1667,0.5337,0.2914,0.1749,0.3266,0.3266,0.3469,0.5944,0.2566,0.149,0.7127,0.188,0.0993,0.3585,0.3291,0.3124,1.0012,0.9979,0.9868,0.9994,0.9973,0.9875,0.9756,0.9722,0.9983,1.0,0.9993,0.9973,0.9999,0.9991,0.9971,1.0,0.9999,0.9997,36.509,9.226,0.0,12.546,187.368,19.223,218.343
32,2026-05-14T16:29:45.533300+00:00,instagram,ISL,18.616,21.814,18.616,0.4831,0.5169,45.203,31.837,0.4133,0.5867,0.8496,0.5011,0,0.5755,0.2579,0.1667,0.717,0.3858,0.00171,0.00449,0,0.5337,0.2914,0.1749,0.835,0.4174,0.03351,0.08656,2,0.3266,0.3266,0.3469,2.448,0.6667,0.14475,0.19591,4.0,49.203,0.5911,0.2516,0.1573,0.5455,0.2875,0.1671,0.3196,0.3196,0.3608,0.5944,0.2566,0.149,0.7127,0.188,0.0993,0.3585,0.3291,0.3124,1.0012,0.9971,0.9834,0.9992,0.9966,0.9852,0.9506,0.9437,0.9967,1.0,0.9993,0.9973,0.9999,0.9991,0.9971,1.0,0.9999,0.9997,32.507,13.366,0.0,16.696,200.734,19.223,235.039
