ho_id,timestamp,task_type,path,isl_ms,gnd_ms,prop_ms,path_p_isl,path_p_gnd,access_cost_isl,access_cost_gnd,inv_cost_p_isl,inv_cost_p_gnd,trgsat_bg,tn_bg,amf_inst,amf_p0,amf_p1,amf_p2,amf_ms,amf_rho,amf_x,amf_cost,smf_inst,smf_p0,smf_p1,smf_p2,smf_ms,smf_rho,smf_x,smf_cost,upf_inst,upf_p0,upf_p1,upf_p2,upf_ms,upf_rho,upf_x,upf_cost,core_ms,total_ms,on_amf_p0,on_amf_p1,on_amf_p2,on_smf_p0,on_smf_p1,on_smf_p2,on_upf_p0,on_upf_p1,on_upf_p2,gnd_amf_p0,gnd_amf_p1,gnd_amf_p2,gnd_smf_p0,gnd_smf_p1,gnd_smf_p2,gnd_upf_p0,gnd_upf_p1,gnd_upf_p2,global_oracle_ms,access_regret_ms,inst_regret_ms,global_regret_ms,cum_access_regret_ms,cum_inst_regret_ms,cum_global_regret_ms
1,2026-05-12T21:05:41.394426+00:00,mixed,GND,10.854,24.235,24.235,0.5,0.5,15.064,31.928,0.6794,0.3206,0.525,0.35,2,0.3333,0.3333,0.3333,1.306,0.6095,0.08058,0.10054,0,0.3333,0.3333,0.3333,0.277,0.1429,-0.00234,-0.0132,0,0.3333,0.3333,0.3333,0.096,0.1371,-0.0304,-0.19517,1.678,33.606,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,17.703,16.864,1.04,15.903,16.864,1.04,15.903
2,2026-05-12T21:05:51.408462+00:00,mixed,GND,20.169,13.576,13.576,0.5,0.5,24.536,21.331,0.4651,0.5349,0.542,0.3552,2,0.3333,0.3333,0.3333,2.29,0.6095,0.17902,0.21105,1,0.3333,0.3333,0.3333,0.24,0.2286,-0.00595,-0.02106,2,0.3333,0.3333,0.3333,0.392,0.3429,-0.00084,-0.00197,2.922,24.253,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,21.97,0.0,2.284,2.284,16.864,3.323,18.187
3,2026-05-12T21:06:01.420070+00:00,mixed,ISL,18.251,19.879,18.251,0.5,0.5,22.786,27.697,0.5486,0.4514,0.559,0.3605,1,0.5,0.5,0.0,1.864,0.6095,0.03639,0.04666,0,0.3333,0.3333,0.3333,0.408,0.3333,-0.05921,-0.15327,1,0.5,0.5,0.0,4.599,0.8,0.25993,0.23105,6.871,29.657,0.5,0.5,0.0,0.3333,0.3333,0.3333,0.5,0.5,0.0,0.5,0.5,0.0,0.3333,0.3333,0.3333,0.5,0.5,0.0,25.426,0.0,4.232,4.232,16.864,7.555,22.419
4,2026-05-12T21:06:11.431130+00:00,mixed,GND,20.266,14.549,14.549,0.5,0.5,24.981,22.432,0.4731,0.5269,0.5758,0.3657,2,0.3333,0.3333,0.3333,1.871,0.6095,0.13707,0.16543,2,0.3333,0.3333,0.3333,0.494,0.381,0.01936,0.03986,1,0.3333,0.3333,0.3333,0.27,0.2286,-0.01297,-0.04646,2.635,25.066,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,23.07,0.0,1.996,1.996,16.864,9.551,24.415
5,2026-05-12T21:06:21.443443+00:00,mixed,ISL,20.119,23.203,20.119,0.5,0.5,25.028,31.151,0.5545,0.4455,0.5926,0.3709,0,0.5,0.5,0.0,0.383,0.4267,-0.11166,-0.23491,0,0.3333,0.3333,0.3333,0.215,0.3333,-0.07849,-0.20871,1,0.5,0.5,0.0,5.501,0.8,0.35012,0.3002,6.1,31.128,0.5,0.5,0.0,0.3333,0.3333,0.3333,0.5,0.5,0.0,0.5,0.5,0.0,0.3333,0.3333,0.3333,0.5,0.5,0.0,27.667,0.0,3.461,3.461,16.864,13.012,27.875
6,2026-05-12T21:06:31.459376+00:00,mixed,GND,18.86,20.05,20.05,0.5,0.5,23.976,28.065,0.5393,0.4607,0.6091,0.3761,2,0.3333,0.3333,0.3333,2.459,0.6095,0.19587,0.22879,2,0.3333,0.3333,0.3333,0.343,0.381,0.00427,0.00893,2,0.3333,0.3333,0.3333,0.304,0.3429,-0.0096,-0.02264,3.105,31.17,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,26.616,4.088,2.467,4.555,20.952,15.479,32.43
7,2026-05-12T21:06:41.477695+00:00,mixed,ISL,10.995,20.423,10.995,0.5,0.5,16.334,28.505,0.6357,0.3643,0.6254,0.3813,0,0.5,0.5,0.0,0.354,0.4267,-0.11461,-0.24195,2,0.3333,0.3333,0.3333,3.88,0.6667,0.28798,0.29682,0,0.5,0.5,0.0,0.854,0.5333,-0.1146,-0.18862,5.088,21.422,0.5,0.5,0.0,0.3333,0.3333,0.3333,0.5,0.5,0.0,0.5,0.5,0.0,0.3333,0.3333,0.3333,0.5,0.5,0.0,18.973,0.0,2.448,2.448,20.952,17.927,34.878
8,2026-05-12T21:06:51.487708+00:00,mixed,GND,9.312,20.595,20.595,0.5,0.5,14.89,28.745,0.6588,0.3412,0.6415,0.3865,2,0.3333,0.3333,0.3333,1.994,0.6095,0.14942,0.17908,0,0.3333,0.3333,0.3333,0.193,0.1429,-0.01069,-0.06172,1,0.3333,0.3333,0.3333,0.396,0.2286,-0.00035,-0.00123,2.584,31.329,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,17.529,13.855,1.945,13.799,34.807,19.873,48.678
9,2026-05-12T21:07:01.498357+00:00,mixed,ISL,18.083,23.851,18.083,0.5,0.5,23.917,32.071,0.5728,0.4272,0.6572,0.3917,0,0.5,0.5,0.0,1.144,0.4267,-0.03563,-0.06914,0,0.3333,0.3333,0.3333,0.284,0.3333,-0.0716,-0.18856,1,0.5,0.5,0.0,5.049,0.8,0.30487,0.26611,6.476,30.393,0.5,0.5,0.0,0.3333,0.3333,0.3333,0.5,0.5,0.0,0.5,0.5,0.0,0.3333,0.3333,0.3333,0.5,0.5,0.0,26.556,0.0,3.837,3.837,34.807,23.71,52.515
10,2026-05-12T21:07:11.435046+00:00,mixed,ISL,9.064,15.354,9.064,0.5,0.5,15.172,23.643,0.6091,0.3909,0.6725,0.3968,0,0.5,0.5,0.0,1.422,0.4267,-0.00778,-0.01469,2,0.3333,0.3333,0.3333,3.227,0.6667,0.22271,0.23685,1,0.5,0.5,0.0,4.003,0.8,0.20033,0.1826,8.653,23.824,0.5,0.5,0.0,0.3333,0.3333,0.3333,0.5,0.5,0.0,0.5,0.5,0.0,0.3333,0.3333,0.3333,0.5,0.5,0.0,17.811,0.0,6.013,6.013,34.807,29.723,58.528
