ho_id,timestamp,task_type,path,isl_ms,gnd_ms,prop_ms,path_p_isl,path_p_gnd,access_cost_isl,access_cost_gnd,inv_cost_p_isl,inv_cost_p_gnd,trgsat_bg,tn_bg,amf_inst,amf_p0,amf_p1,amf_p2,amf_ms,amf_rho,amf_x,amf_cost,smf_inst,smf_p0,smf_p1,smf_p2,smf_ms,smf_rho,smf_x,smf_cost,upf_inst,upf_p0,upf_p1,upf_p2,upf_ms,upf_rho,upf_x,upf_cost,core_ms,total_ms,on_amf_p0,on_amf_p1,on_amf_p2,on_smf_p0,on_smf_p1,on_smf_p2,on_upf_p0,on_upf_p1,on_upf_p2,gnd_amf_p0,gnd_amf_p1,gnd_amf_p2,gnd_smf_p0,gnd_smf_p1,gnd_smf_p2,gnd_upf_p0,gnd_upf_p1,gnd_upf_p2,on_amf_B0,on_amf_B1,on_amf_B2,on_smf_B0,on_smf_B1,on_smf_B2,on_upf_B0,on_upf_B1,on_upf_B2,gnd_amf_B0,gnd_amf_B1,gnd_amf_B2,gnd_smf_B0,gnd_smf_B1,gnd_smf_B2,gnd_upf_B0,gnd_upf_B1,gnd_upf_B2,global_oracle_ms,access_regret_ms,inst_regret_ms,global_regret_ms,cum_access_regret_ms,cum_inst_regret_ms,cum_global_regret_ms
1,2026-05-14T17:29:23.675810+00:00,instagram,GND,7.856,40.219,40.219,0.5,0.5,16.277,47.912,0.7464,0.2536,0.525,0.35,2,0.3333,0.3333,0.3333,0.846,0.4667,0.03457,0.0729,0,0.3333,0.3333,0.3333,0.089,0.2892,-0.02114,-0.12597,0,0.3333,0.3333,0.3333,0.299,0.1857,-0.01014,-0.05613,1.233,49.145,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,,,,,,,,,,,,,,,,,,,20.882,31.634,0.554,28.262,31.634,0.554,28.262
2,2026-05-14T17:29:29.680899+00:00,instagram,GND,42.418,43.813,43.813,0.5,0.5,51.152,51.567,0.502,0.498,0.542,0.3552,1,0.3333,0.3333,0.3333,0.258,0.3562,-0.02423,-0.07712,1,0.3333,0.3333,0.3333,0.348,0.3026,0.00485,0.01683,1,0.3333,0.3333,0.3333,0.456,0.2619,0.00563,0.02128,1.062,52.63,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,,,,,,,,,,,,,,,,,,,52.247,0.416,0.383,0.383,32.05,0.937,28.645
3,2026-05-14T17:29:35.687127+00:00,instagram,GND,20.57,25.494,25.494,0.5,0.5,29.64,33.312,0.5292,0.4708,0.559,0.3605,0,0.3333,0.3333,0.3333,0.341,0.3332,-0.01595,-0.07233,1,0.3333,0.3333,0.3333,0.256,0.3008,-0.00438,-0.01546,1,0.3333,0.3333,0.3333,0.24,0.2619,-0.01598,-0.06296,0.837,34.149,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,,,,,,,,,,,,,,,,,,,33.992,3.672,0.157,0.157,35.722,1.094,28.802
4,2026-05-14T17:29:41.696989+00:00,instagram,ISL,14.92,26.278,14.92,0.5,0.5,24.35,34.161,0.5838,0.4162,0.5758,0.3657,0,0.3333,0.3333,0.3333,0.79,0.5397,-0.07098,-0.2062,1,0.3333,0.3333,0.3333,0.974,0.5266,-0.00262,-0.00551,2,0.0,0.0,1.0,2.131,0.6667,0.01307,0.01941,3.895,28.245,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.0,0.0,1.0,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,29.046,0.0,0.0,0.0,35.722,1.094,28.802
5,2026-05-14T17:29:47.697730+00:00,instagram,ISL,35.828,29.459,35.828,0.5,0.5,45.646,37.407,0.4504,0.5496,0.5926,0.3709,2,0.3333,0.3333,0.3333,2.291,0.6673,0.07914,0.11217,0,0.3333,0.3333,0.3333,0.603,0.5631,-0.03973,-0.11347,2,0.0,0.0,1.0,2.403,0.6667,0.04025,0.05863,5.297,50.943,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.0,0.0,1.0,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,38.089,8.239,0.582,12.854,43.961,1.676,41.656
6,2026-05-14T17:29:53.707773+00:00,instagram,GND,36.164,25.322,25.322,0.5,0.5,46.397,33.337,0.4181,0.5819,0.6091,0.3761,1,0.3333,0.3333,0.3333,0.306,0.3471,-0.01945,-0.0614,0,0.3333,0.3333,0.3333,0.083,0.2967,-0.02173,-0.12973,1,0.3333,0.3333,0.3333,0.08,0.2619,-0.03198,-0.13025,0.468,33.805,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,,,,,,,,,,,,,,,,,,,34.019,0.0,0.0,0.0,43.961,1.676,41.656
7,2026-05-14T17:29:59.719452+00:00,instagram,ISL,42.924,36.278,42.924,0.5,0.5,53.603,44.36,0.4528,0.5472,0.6254,0.3813,2,0.3333,0.3333,0.3333,2.431,0.6698,0.09314,0.13077,0,0.3333,0.3333,0.3333,1.324,0.5492,0.03241,0.08388,2,0.0,0.0,1.0,2.118,0.6667,0.01181,0.01756,5.874,59.476,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.0,0.0,1.0,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,45.043,9.243,1.143,14.434,53.204,2.819,56.089
8,2026-05-14T17:30:05.749184+00:00,instagram,ISL,17.545,21.641,17.545,0.5,0.5,28.702,29.791,0.5093,0.4907,0.6415,0.3865,0,0.3333,0.3333,0.3333,0.944,0.5761,-0.0556,-0.15776,0,0.3333,0.3333,0.3333,0.591,0.5398,-0.04087,-0.11694,2,0.0,0.0,1.0,2.366,0.6667,0.03662,0.05347,3.901,32.603,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.0,0.0,1.0,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,30.474,0.0,0.0,2.129,53.204,2.819,58.218
9,2026-05-14T17:30:11.746216+00:00,instagram,GND,18.584,28.841,28.841,0.5,0.5,30.253,37.06,0.5506,0.4494,0.6572,0.3917,1,0.3333,0.3333,0.3333,0.155,0.3412,-0.03454,-0.11179,0,0.3333,0.3333,0.3333,0.082,0.2985,-0.02181,-0.13026,1,0.3333,0.3333,0.3333,0.381,0.2619,-0.00194,-0.00743,0.617,37.677,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,,,,,,,,,,,,,,,,,,,34.968,6.807,0.0,2.709,60.011,2.819,60.927
10,2026-05-14T17:30:17.744392+00:00,instagram,GND,12.561,25.798,25.798,0.5,0.5,24.776,34.088,0.5791,0.4209,0.6725,0.3968,0,0.3333,0.3333,0.3333,0.252,0.3468,-0.02484,-0.11505,1,0.3333,0.3333,0.3333,0.297,0.2909,-0.00028,-0.00099,1,0.3333,0.3333,0.3333,0.36,0.2619,-0.00403,-0.01549,0.909,34.996,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,,,,,,,,,,,,,,,,,,,29.472,9.312,0.225,5.524,69.323,3.043,66.452
