ho_id,timestamp,task_type,path,isl_ms,gnd_ms,prop_ms,path_p_isl,path_p_gnd,access_cost_isl,access_cost_gnd,inv_cost_p_isl,inv_cost_p_gnd,trgsat_bg,tn_bg,amf_inst,amf_p0,amf_p1,amf_p2,amf_ms,amf_rho,amf_x,amf_cost,smf_inst,smf_p0,smf_p1,smf_p2,smf_ms,smf_rho,smf_x,smf_cost,upf_inst,upf_p0,upf_p1,upf_p2,upf_ms,upf_rho,upf_x,upf_cost,core_ms,total_ms,on_amf_p0,on_amf_p1,on_amf_p2,on_smf_p0,on_smf_p1,on_smf_p2,on_upf_p0,on_upf_p1,on_upf_p2,gnd_amf_p0,gnd_amf_p1,gnd_amf_p2,gnd_smf_p0,gnd_smf_p1,gnd_smf_p2,gnd_upf_p0,gnd_upf_p1,gnd_upf_p2,on_amf_B0,on_amf_B1,on_amf_B2,on_smf_B0,on_smf_B1,on_smf_B2,on_upf_B0,on_upf_B1,on_upf_B2,gnd_amf_B0,gnd_amf_B1,gnd_amf_B2,gnd_smf_B0,gnd_smf_B1,gnd_smf_B2,gnd_upf_B0,gnd_upf_B1,gnd_upf_B2,global_oracle_ms,access_regret_ms,inst_regret_ms,global_regret_ms,cum_access_regret_ms,cum_inst_regret_ms,cum_global_regret_ms
1,2026-05-14T16:56:39.710489+00:00,youtube,ISL,16.107,40.227,16.107,0.5,0.5,24.528,47.919,0.6614,0.3386,0.525,0.35,0,0.3333,0.3333,0.3333,1.674,0.3823,-0.23263,-0.94332,1,0.3333,0.3333,0.3333,1.946,0.4094,-0.10536,-0.25007,0,0.3333,0.3333,0.3333,0.489,0.3889,-0.55114,-4.83572,4.109,28.636,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,,,,,,,,,,,,,,,,,,,26.955,0.0,1.682,1.682,0.0,1.682,1.682
2,2026-05-14T16:56:45.709451+00:00,youtube,GND,41.521,43.497,43.497,0.5,0.5,50.255,51.252,0.5049,0.4951,0.542,0.3552,0,0.3333,0.3333,0.3333,0.391,0.2617,-0.11093,-0.66423,2,0.3333,0.3333,0.3333,0.51,0.3072,-0.04903,-0.12798,1,0.3333,0.3333,0.3333,0.125,0.15,-0.13748,-1.02608,1.026,52.278,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,,,,,,,,,,,,,,,,,,,51.86,0.997,0.417,0.417,0.997,2.099,2.099
3,2026-05-14T16:56:51.722128+00:00,youtube,ISL,14.458,21.703,14.458,0.5,0.5,23.528,29.521,0.5565,0.4435,0.559,0.3605,0,0.3333,0.3333,0.3333,3.223,0.4121,-0.07775,-0.22826,0,0.3333,0.3333,0.3333,0.761,0.4587,-0.22385,-0.92734,2,0.3333,0.3333,0.3333,0.94,0.4148,-0.506,-1.9233,4.924,28.452,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,,,,,,,,,,,,,,,,,,,25.997,0.0,2.454,2.454,0.997,4.553,4.553
4,2026-05-14T16:56:57.728314+00:00,youtube,ISL,13.966,21.83,13.966,0.5,0.5,23.397,29.712,0.5595,0.4405,0.5758,0.3657,0,0.3333,0.3333,0.3333,0.442,0.4254,-0.3558,-2.71757,2,0.3333,0.3333,0.3333,0.757,0.4375,-0.22427,-0.4621,0,0.3333,0.3333,0.3333,1.08,0.3889,-0.49202,-2.16837,2.279,25.676,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,,,,,,,,,,,,,,,,,,,25.883,0.0,0.0,0.0,0.997,4.553,4.553
5,2026-05-14T16:57:03.799691+00:00,youtube,GND,35.248,21.576,21.576,0.5,0.5,45.065,29.524,0.3958,0.6042,0.5926,0.3709,1,0.3333,0.3333,0.3333,0.642,0.2513,-0.08583,-0.30495,2,0.3333,0.3333,0.3333,0.437,0.3155,-0.05625,-0.14829,1,0.3333,0.3333,0.3333,0.208,0.15,-0.1292,-0.9237,1.287,30.811,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,,,,,,,,,,,,,,,,,,,30.134,0.0,0.677,0.677,0.997,5.231,5.231
6,2026-05-14T16:57:09.744193+00:00,youtube,GND,43.594,36.448,36.448,0.5,0.5,53.827,44.462,0.4524,0.5476,0.6091,0.3761,1,0.3333,0.3333,0.3333,0.411,0.2492,-0.10888,-0.40562,1,0.3333,0.3333,0.3333,0.263,0.2103,-0.07368,-0.29824,0,0.3333,0.3333,0.3333,0.128,0.1,-0.13722,-3.23213,0.802,45.265,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,,,,,,,,,,,,,,,,,,,45.073,0.0,0.192,0.192,0.997,5.422,5.422
7,2026-05-14T16:57:15.750191+00:00,youtube,ISL,30.054,31.269,30.054,0.5,0.5,40.733,39.351,0.4914,0.5086,0.6254,0.3813,0,0.3333,0.3333,0.3333,0.59,0.4558,-0.34097,-2.25436,2,0.3333,0.3333,0.3333,0.876,0.4489,-0.21239,-0.43146,1,0.3333,0.3333,0.3333,1.625,0.5704,-0.43751,-0.7699,3.091,43.824,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,,,,,,,,,,,,,,,,,,,39.962,1.382,0.583,3.863,2.379,6.005,9.285
8,2026-05-14T16:57:21.762700+00:00,youtube,ISL,26.419,22.993,26.419,0.5,0.5,37.576,31.143,0.4532,0.5468,0.6415,0.3865,1,0.3333,0.3333,0.3333,1.06,0.4608,-0.29398,-0.80122,2,0.3333,0.3333,0.3333,2.766,0.4533,-0.02342,-0.03941,0,0.3333,0.3333,0.3333,0.535,0.3889,-0.54648,-4.1144,4.361,41.937,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,,,,,,,,,,,,,,,,,,,31.755,6.433,1.856,10.183,8.812,7.861,19.468
9,2026-05-14T16:57:27.773279+00:00,youtube,ISL,29.078,26.227,29.078,0.5,0.5,40.747,34.446,0.4581,0.5419,0.6572,0.3917,1,0.3333,0.3333,0.3333,0.685,0.4511,-0.33153,-0.97185,2,0.3333,0.3333,0.3333,0.978,0.4579,-0.20219,-0.40587,0,0.3333,0.3333,0.3333,1.394,0.3889,-0.46057,-1.76624,3.057,43.804,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,,,,,,,,,,,,,,,,,,,35.058,6.3,0.56,8.746,15.112,8.42,28.214
10,2026-05-14T16:57:33.778147+00:00,youtube,ISL,16.307,25.57,16.307,0.5,0.5,28.523,33.86,0.5428,0.4572,0.6725,0.3968,0,0.3333,0.3333,0.3333,0.562,0.4667,-0.34379,-2.32736,1,0.3333,0.3333,0.3333,0.376,0.3447,-0.26238,-0.80074,1,0.3333,0.3333,0.3333,1.639,0.5704,-0.43614,-0.76629,2.577,31.1,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,,,,,,,,,,,,,,,,,,,31.007,0.0,0.092,0.092,15.112,8.513,28.306
