ho_id,timestamp,task_type,path,isl_ms,gnd_ms,prop_ms,path_p_isl,path_p_gnd,access_cost_isl,access_cost_gnd,inv_cost_p_isl,inv_cost_p_gnd,trgsat_bg,tn_bg,amf_inst,amf_p0,amf_p1,amf_p2,amf_ms,amf_rho,amf_x,amf_cost,smf_inst,smf_p0,smf_p1,smf_p2,smf_ms,smf_rho,smf_x,smf_cost,upf_inst,upf_p0,upf_p1,upf_p2,upf_ms,upf_rho,upf_x,upf_cost,core_ms,total_ms,on_amf_p0,on_amf_p1,on_amf_p2,on_smf_p0,on_smf_p1,on_smf_p2,on_upf_p0,on_upf_p1,on_upf_p2,gnd_amf_p0,gnd_amf_p1,gnd_amf_p2,gnd_smf_p0,gnd_smf_p1,gnd_smf_p2,gnd_upf_p0,gnd_upf_p1,gnd_upf_p2,on_amf_B0,on_amf_B1,on_amf_B2,on_smf_B0,on_smf_B1,on_smf_B2,on_upf_B0,on_upf_B1,on_upf_B2,gnd_amf_B0,gnd_amf_B1,gnd_amf_B2,gnd_smf_B0,gnd_smf_B1,gnd_smf_B2,gnd_upf_B0,gnd_upf_B1,gnd_upf_B2,global_oracle_ms,access_regret_ms,inst_regret_ms,global_regret_ms,cum_access_regret_ms,cum_inst_regret_ms,cum_global_regret_ms
1,2026-05-14T16:26:38.836475+00:00,gaming,GND,17.191,40.368,40.368,0.5,0.5,25.612,48.06,0.6523,0.3477,0.525,0.35,0,0.3333,0.3333,0.3333,0.351,0.19,0.01011,0.04326,2,0.3333,0.3333,0.3333,0.503,0.1822,0.03527,0.08288,1,0.3333,0.3333,0.3333,0.034,0.0571,-0.01664,-0.12385,0.887,48.947,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,,,,,,,,,,,,,,,,,,,27.106,22.448,0.387,21.841,22.448,0.387,21.841
2,2026-05-14T16:26:44.842046+00:00,gaming,ISL,40.084,43.448,40.084,0.5,0.5,48.818,51.203,0.5119,0.4881,0.542,0.3552,2,0.3333,0.3333,0.3333,0.996,0.2673,0.02956,0.04339,2,0.3333,0.3333,0.3333,0.347,0.2498,-0.0153,-0.02558,1,0.3333,0.3333,0.3333,0.46,0.237,-0.05399,-0.09553,1.803,50.62,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,,,,,,,,,,,,,,,,,,,50.328,0.0,0.292,0.292,22.448,0.679,22.133
3,2026-05-14T16:26:50.846714+00:00,gaming,GND,17.964,25.851,25.851,0.5,0.5,27.034,33.67,0.5547,0.4453,0.559,0.3605,2,0.3333,0.3333,0.3333,0.36,0.1969,0.01098,0.02374,1,0.3333,0.3333,0.3333,0.281,0.1294,0.01309,0.0448,0,0.3333,0.3333,0.3333,0.062,0.0229,-0.01382,-0.27694,0.703,34.372,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,,,,,,,,,,,,,,,,,,,28.558,6.636,0.201,5.814,29.083,0.88,27.947
4,2026-05-14T16:26:56.849636+00:00,gaming,GND,11.675,21.821,21.821,0.5,0.5,21.106,29.703,0.5846,0.4154,0.5758,0.3657,2,0.3333,0.3333,0.3333,0.354,0.1993,0.01042,0.02254,0,0.3333,0.3333,0.3333,0.17,0.1872,0.00201,0.01121,1,0.3333,0.3333,0.3333,0.135,0.0571,-0.00646,-0.04624,0.66,30.363,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,,,,,,,,,,,,,,,,,,,22.642,8.597,0.158,7.721,37.681,1.038,35.668
5,2026-05-14T16:27:02.857510+00:00,gaming,GND,29.805,26.365,26.365,0.5,0.5,39.623,34.313,0.4641,0.5359,0.5926,0.3709,2,0.3333,0.3333,0.3333,0.414,0.202,0.01639,0.03522,1,0.3333,0.3333,0.3333,0.069,0.1261,-0.00807,-0.02863,1,0.3333,0.3333,0.3333,0.087,0.0571,-0.0113,-0.08244,0.57,34.883,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,,,,,,,,,,,,,,,,,,,34.816,0.0,0.068,0.068,37.681,1.105,35.736
6,2026-05-14T16:27:08.864991+00:00,gaming,GND,36.416,29.589,29.589,0.5,0.5,46.649,37.603,0.4463,0.5537,0.6091,0.3761,1,0.3333,0.3333,0.3333,0.327,0.1512,0.00773,0.0234,0,0.3333,0.3333,0.3333,0.195,0.1895,0.00452,0.02498,2,0.3333,0.3333,0.3333,0.637,0.1469,0.04368,0.11235,1.159,38.763,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,,,,,,,,,,,,,,,,,,,38.106,0.0,0.656,0.656,37.681,1.761,36.392
7,2026-05-14T16:27:14.880601+00:00,gaming,GND,31.886,25.514,25.514,0.5,0.5,42.565,33.596,0.4411,0.5589,0.6254,0.3813,1,0.3333,0.3333,0.3333,0.14,0.1491,-0.011,-0.03428,2,0.3333,0.3333,0.3333,0.549,0.1988,0.03988,0.09323,1,0.3333,0.3333,0.3333,0.063,0.0571,-0.0137,-0.10078,0.752,34.348,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,,,,,,,,,,,,,,,,,,,34.099,0.0,0.248,0.248,37.681,2.01,36.64
8,2026-05-14T16:27:20.890202+00:00,gaming,ISL,37.031,30.469,37.031,0.5,0.5,48.187,38.619,0.4449,0.5551,0.6415,0.3865,2,0.3333,0.3333,0.3333,1.833,0.2719,0.1133,0.15696,1,0.3333,0.3333,0.3333,0.199,0.2123,-0.03009,-0.06528,0,0.3333,0.3333,0.3333,0.386,0.1111,-0.06137,-0.24964,2.418,50.606,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,,,,,,,,,,,,,,,,,,,39.123,9.568,0.869,11.483,47.249,2.879,48.123
9,2026-05-14T16:27:26.896943+00:00,gaming,ISL,33.7,33.711,33.7,0.5,0.5,45.368,41.93,0.4803,0.5197,0.6572,0.3917,0,0.3333,0.3333,0.3333,1.155,0.3511,0.0455,0.11282,0,0.3333,0.3333,0.3333,0.859,0.3069,0.03592,0.09257,0,0.3333,0.3333,0.3333,0.043,0.1111,-0.09569,-0.42233,2.057,47.426,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,,,,,,,,,,,,,,,,,,,42.434,3.438,0.514,4.992,50.687,3.393,53.115
10,2026-05-14T16:27:32.904063+00:00,gaming,ISL,10.849,21.365,10.849,0.5,0.5,23.065,29.655,0.5625,0.4375,0.6725,0.3968,0,0.3333,0.3333,0.3333,0.384,0.3524,-0.03161,-0.08662,2,0.3333,0.3333,0.3333,1.071,0.281,0.05713,0.09008,1,0.3333,0.3333,0.3333,0.754,0.237,-0.02464,-0.04247,2.209,25.274,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,,,,,,,,,,,,,,,,,,,24.599,0.0,0.675,0.675,50.687,4.068,53.79
