ho_id,timestamp,task_type,path,isl_ms,gnd_ms,prop_ms,path_p_isl,path_p_gnd,access_cost_isl,access_cost_gnd,inv_cost_p_isl,inv_cost_p_gnd,amf_inst,amf_p0,amf_p1,amf_p2,amf_ms,amf_rho,amf_x,amf_cost,smf_inst,smf_p0,smf_p1,smf_p2,smf_ms,smf_rho,smf_x,smf_cost,upf_inst,upf_p0,upf_p1,upf_p2,upf_ms,upf_rho,upf_x,upf_cost,core_ms,total_ms,on_amf_p0,on_amf_p1,on_amf_p2,on_smf_p0,on_smf_p1,on_smf_p2,on_upf_p0,on_upf_p1,on_upf_p2,gnd_amf_p0,gnd_amf_p1,gnd_amf_p2,gnd_smf_p0,gnd_smf_p1,gnd_smf_p2,gnd_upf_p0,gnd_upf_p1,gnd_upf_p2,on_amf_B0,on_amf_B1,on_amf_B2,on_smf_B0,on_smf_B1,on_smf_B2,on_upf_B0,on_upf_B1,on_upf_B2,gnd_amf_B0,gnd_amf_B1,gnd_amf_B2,gnd_smf_B0,gnd_smf_B1,gnd_smf_B2,gnd_upf_B0,gnd_upf_B1,gnd_upf_B2,B_isl,B_gnd,Q_isl,Q_gnd,gamma_isl,gamma_gnd,global_oracle_ms,access_regret_ms,inst_regret_ms,global_regret_ms,cum_access_regret_ms,cum_inst_regret_ms,cum_global_regret_ms
1,2026-05-16T23:24:02.133735+00:00,instagram,ISL,17.875,17.756,17.875,0.5,0.5,23.2,23.465,0.5028,0.4972,0,0.3333,0.3333,0.3333,0.604,0.127,0.00035,0.00093,2,0.3333,0.3333,0.3333,0.742,0.202,0.01916,0.03111,2,0.3333,0.3333,0.3333,1.47,0.2222,-0.15299,-0.26129,2.815,26.015,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,1.0,0.9999,0.9996,1.0001,1.0,0.9998,1.0,1.0,1.002,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05,0.05,0.0,0.0,0.25,0.0,24.409,0.0,0.0,1.606,0.0,0.0,1.606
2,2026-05-16T23:24:18.168202+00:00,instagram,ISL,20.734,16.024,20.734,0.5001,0.4999,26.26,21.778,0.4533,0.5467,0,0.3557,0.3289,0.3153,0.252,0.1355,-0.03477,-0.09574,1,0.3547,0.3304,0.3149,1.159,0.1573,0.06095,0.12037,2,0.3237,0.3205,0.3558,0.486,0.2377,-0.25136,-0.47692,1.898,28.159,0.3557,0.3289,0.3153,0.3547,0.3304,0.3149,0.3237,0.3205,0.3558,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,1.0004,0.9998,0.9993,1.0002,0.9994,0.9995,1.0,1.0,1.006,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0559,0.0524,0.1941,0.0,0.25,0.0,22.723,4.482,0.0,5.436,4.482,0.0,7.042
3,2026-05-16T23:24:34.197691+00:00,instagram,GND,9.536,13.332,13.332,0.4999,0.5001,15.232,19.124,0.5566,0.4434,2,0.3333,0.3333,0.3333,0.529,0.1524,0.0179,0.0384,0,0.3333,0.3333,0.3333,0.289,0.0595,-0.00406,-0.02301,1,0.3333,0.3333,0.3333,0.121,0.0873,-0.01289,-0.05046,0.94,20.064,0.3849,0.3204,0.2946,0.3793,0.3222,0.2985,0.308,0.302,0.39,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,1.0004,0.9998,0.9993,1.0002,0.9994,0.9995,1.0,1.0,1.006,1.0001,1.0,0.9998,1.0,1.0,0.9999,1.0001,1.0001,0.9999,0.06062,0.05432,0.38348,0.0,0.0,0.2,19.34,3.892,0.0,0.724,8.374,0.0,7.765
4,2026-05-16T23:24:50.235205+00:00,instagram,ISL,4.067,7.744,4.067,0.5005,0.4995,9.906,13.568,0.578,0.422,1,0.3849,0.3204,0.2946,0.453,0.1709,-0.01475,-0.02804,2,0.3793,0.3222,0.2985,0.859,0.1808,0.03087,0.04965,2,0.308,0.302,0.39,0.54,0.2616,-0.24605,-0.46639,1.851,11.757,0.3849,0.3204,0.2946,0.3793,0.3222,0.2985,0.308,0.302,0.39,0.3793,0.3252,0.2954,0.3797,0.328,0.2923,0.3673,0.3329,0.2998,1.0005,0.9999,0.999,1.0003,0.9994,0.9993,1.0,1.0,1.0099,1.0001,1.0,0.9998,1.0,1.0,0.9999,1.0001,1.0001,0.9999,0.0644,0.05586,0.31908,0.14414,0.25,0.0,14.013,0.0,0.0,0.0,8.374,0.0,7.765
5,2026-05-16T23:25:06.264611+00:00,instagram,GND,6.399,11.628,11.628,0.5015,0.4985,12.356,17.477,0.5858,0.4142,0,0.3793,0.3252,0.2954,0.155,0.0867,-0.01946,-0.08903,0,0.3797,0.328,0.2923,0.095,0.0678,-0.02347,-0.14095,1,0.3673,0.3329,0.2998,0.197,0.0872,-0.00531,-0.02049,0.448,17.925,0.4096,0.315,0.2754,0.4018,0.3181,0.2801,0.2918,0.2835,0.4247,0.3793,0.3252,0.2954,0.3797,0.328,0.2923,0.3673,0.3329,0.2998,1.0005,0.9999,0.999,1.0003,0.9994,0.9993,1.0,1.0,1.0099,1.0003,1.0,0.9997,1.0003,1.0001,0.9998,1.0001,1.0002,0.9998,0.06742,0.05708,0.50167,0.08706,0.0,0.2,16.464,5.121,0.0,1.461,13.495,0.0,9.226
6,2026-05-16T23:25:22.287698+00:00,instagram,GND,5.741,11.035,11.035,0.5025,0.4975,11.795,16.904,0.589,0.411,0,0.4313,0.3114,0.2573,0.241,0.0986,-0.01093,-0.04902,1,0.4276,0.3191,0.2533,0.101,0.0912,-0.02285,-0.0834,2,0.4035,0.3275,0.269,0.244,0.0878,-0.00058,-0.00177,0.586,17.491,0.4096,0.315,0.2754,0.4018,0.3181,0.2801,0.2918,0.2835,0.4247,0.4313,0.3114,0.2573,0.4276,0.3191,0.2533,0.4035,0.3275,0.269,1.0005,0.9999,0.999,1.0003,0.9994,0.9993,1.0,1.0,1.0099,1.0004,1.0,0.9995,1.0005,1.0003,0.9997,1.0002,1.0002,0.9998,0.06983,0.05807,0.43183,0.22899,0.0,0.2,15.902,5.109,0.0,1.588,18.604,0.0,10.815
7,2026-05-16T23:25:38.334369+00:00,instagram,ISL,13.154,11.048,13.154,0.5036,0.4964,19.288,16.934,0.4675,0.5325,0,0.4096,0.315,0.2754,0.252,0.1561,-0.03476,-0.09576,0,0.4018,0.3181,0.2801,1.841,0.1489,0.12909,0.29888,2,0.2918,0.2835,0.4247,0.636,0.286,-0.23641,-0.44542,2.729,22.017,0.4096,0.315,0.2754,0.4018,0.3181,0.2801,0.2918,0.2835,0.4247,0.4795,0.2972,0.2233,0.472,0.3126,0.2154,0.4409,0.3169,0.2422,1.0009,0.9999,0.9986,0.9994,0.9993,0.999,1.0,1.0,1.0136,1.0004,1.0,0.9995,1.0005,1.0003,0.9997,1.0002,1.0002,0.9998,0.07177,0.05885,0.36007,0.37014,0.25,0.0,17.879,2.354,0.0,4.139,20.958,0.0,14.953
8,2026-05-16T23:25:54.359354+00:00,instagram,ISL,9.848,12.109,9.848,0.5038,0.4962,16.048,18.009,0.5288,0.4712,0,0.4398,0.3046,0.2556,0.123,0.1677,-0.04773,-0.13407,1,0.4054,0.3235,0.2711,0.359,0.154,-0.01906,-0.04083,2,0.2756,0.2653,0.4591,0.75,0.3102,-0.22499,-0.42044,1.232,17.28,0.4398,0.3046,0.2556,0.4054,0.3235,0.2711,0.2756,0.2653,0.4591,0.4795,0.2972,0.2233,0.472,0.3126,0.2154,0.4409,0.3169,0.2422,1.0014,0.9998,0.9984,0.9995,0.9995,0.9988,1.0,1.0,1.017,1.0004,1.0,0.9995,1.0005,1.0003,0.9997,1.0002,1.0002,0.9998,0.07331,0.05948,0.53675,0.31065,0.25,0.0,18.953,0.0,0.0,0.0,20.958,0.0,14.953
9,2026-05-16T23:26:10.399336+00:00,instagram,GND,6.11,10.149,10.149,0.5044,0.4956,12.362,16.059,0.565,0.435,0,0.4795,0.2972,0.2233,0.175,0.1096,-0.01746,-0.07951,2,0.472,0.3126,0.2154,0.358,0.0879,0.00281,0.00687,2,0.4409,0.3169,0.2422,0.587,0.0791,0.03373,0.09825,1.121,17.18,0.4732,0.2918,0.235,0.4262,0.3207,0.253,0.2598,0.2478,0.4924,0.4795,0.2972,0.2233,0.472,0.3126,0.2154,0.4409,0.3169,0.2422,1.0014,0.9998,0.9984,0.9995,0.9995,0.9988,1.0,1.0,1.017,1.0006,1.0,0.9994,1.0006,1.0003,0.9996,1.0002,1.0001,0.9995,0.07455,0.05999,0.7122,0.25067,0.0,0.2,16.47,3.697,0.176,0.71,24.655,0.176,15.663
10,2026-05-16T23:26:26.437523+00:00,instagram,ISL,2.057,9.848,2.057,0.5054,0.4946,8.352,15.767,0.6537,0.3463,1,0.4732,0.2918,0.235,0.315,0.1556,-0.02853,-0.05498,2,0.4262,0.3207,0.253,0.173,0.1532,-0.03772,-0.0642,2,0.2598,0.2478,0.4924,0.617,0.3339,-0.23831,-0.45396,1.104,9.456,0.4732,0.2918,0.235,0.4262,0.3207,0.253,0.2598,0.2478,0.4924,0.5311,0.2785,0.1904,0.5194,0.2972,0.1833,0.4816,0.3066,0.2118,1.0016,1.0001,0.9981,0.9996,0.9995,0.9992,1.0,1.0,1.0208,1.0006,1.0,0.9994,1.0006,1.0003,0.9996,1.0002,1.0001,0.9995,0.07554,0.06039,0.63666,0.39028,0.25,0.0,12.459,0.0,0.0,0.0,24.655,0.176,15.663
