ho_id,timestamp,task_type,path,isl_ms,gnd_ms,prop_ms,path_p_isl,path_p_gnd,access_cost_isl,access_cost_gnd,inv_cost_p_isl,inv_cost_p_gnd,amf_inst,amf_p0,amf_p1,amf_p2,amf_ms,amf_rho,amf_x,amf_cost,smf_inst,smf_p0,smf_p1,smf_p2,smf_ms,smf_rho,smf_x,smf_cost,upf_inst,upf_p0,upf_p1,upf_p2,upf_ms,upf_rho,upf_x,upf_cost,core_ms,total_ms,on_amf_p0,on_amf_p1,on_amf_p2,on_smf_p0,on_smf_p1,on_smf_p2,on_upf_p0,on_upf_p1,on_upf_p2,gnd_amf_p0,gnd_amf_p1,gnd_amf_p2,gnd_smf_p0,gnd_smf_p1,gnd_smf_p2,gnd_upf_p0,gnd_upf_p1,gnd_upf_p2,on_amf_B0,on_amf_B1,on_amf_B2,on_smf_B0,on_smf_B1,on_smf_B2,on_upf_B0,on_upf_B1,on_upf_B2,gnd_amf_B0,gnd_amf_B1,gnd_amf_B2,gnd_smf_B0,gnd_smf_B1,gnd_smf_B2,gnd_upf_B0,gnd_upf_B1,gnd_upf_B2,global_oracle_ms,access_regret_ms,inst_regret_ms,global_regret_ms,cum_access_regret_ms,cum_inst_regret_ms,cum_global_regret_ms
1,2026-05-16T15:35:01.009388+00:00,instagram,ISL,8.116,40.509,8.116,1.0,0.0,15.649,47.634,0.7527,0.2473,0,1.0,0.0,0.0,0.551,0.381,-0.00489,-0.01293,0,1.0,0.0,0.0,0.868,0.3704,0.03183,0.08244,2,0.0,0.0,1.0,2.194,0.6667,-0.08063,-0.1289,3.613,19.263,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,19.757,0.0,0.0,0.0,0.0,0.0,0.0
2,2026-05-16T15:35:07.014388+00:00,instagram,GND,39.728,43.19,43.19,0.0,1.0,51.678,54.565,0.5136,0.4864,0,1.0,0.0,0.0,0.37,0.2286,0.00196,0.00853,0,1.0,0.0,0.0,0.258,0.1786,-0.00717,-0.04097,0,1.0,0.0,0.0,0.11,0.1857,-0.01397,-0.07817,0.738,55.303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,55.51,2.887,0.0,0.0,2.887,0.0,0.0
3,2026-05-16T15:35:13.027570+00:00,instagram,ISL,19.326,29.02,19.326,1.0,0.0,31.276,40.395,0.5636,0.4364,0,1.0,0.0,0.0,0.361,0.381,-0.02393,-0.06487,0,1.0,0.0,0.0,0.634,0.3704,0.00844,0.02253,2,0.0,0.0,1.0,2.312,0.6667,-0.06884,-0.10899,3.307,34.583,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,35.384,0.0,0.0,0.0,2.887,0.0,0.0
4,2026-05-16T15:35:19.030359+00:00,instagram,GND,39.526,29.418,29.418,0.0,1.0,51.476,40.793,0.4421,0.5579,0,1.0,0.0,0.0,0.33,0.2286,-0.00199,-0.00874,0,1.0,0.0,0.0,0.121,0.1786,-0.02088,-0.12433,0,1.0,0.0,0.0,0.215,0.1857,-0.00347,-0.01886,0.667,41.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,41.738,0.0,0.0,0.0,2.887,0.0,0.0
5,2026-05-16T15:35:25.040506+00:00,instagram,GND,26.24,22.604,22.604,0.0,1.0,38.19,33.979,0.4708,0.5292,0,1.0,0.0,0.0,0.367,0.2286,0.0017,0.0074,0,1.0,0.0,0.0,0.188,0.1786,-0.0142,-0.08288,0,1.0,0.0,0.0,0.134,0.1857,-0.01157,-0.06431,0.689,34.669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,34.924,0.0,0.0,0.0,2.887,0.0,0.0
6,2026-05-16T15:35:31.044638+00:00,instagram,GND,29.475,26.295,26.295,0.0,1.0,41.425,37.67,0.4763,0.5237,0,1.0,0.0,0.0,0.153,0.2286,-0.01966,-0.08995,0,1.0,0.0,0.0,0.135,0.1786,-0.01953,-0.11585,0,1.0,0.0,0.0,0.116,0.1857,-0.01342,-0.07499,0.404,38.074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,38.615,0.0,0.0,0.0,2.887,0.0,0.0
7,2026-05-16T15:35:37.047595+00:00,instagram,GND,34.362,21.044,21.044,0.0,1.0,46.312,32.419,0.4118,0.5882,0,1.0,0.0,0.0,0.182,0.2286,-0.01677,-0.07619,0,1.0,0.0,0.0,0.147,0.1786,-0.01827,-0.10794,0,1.0,0.0,0.0,0.163,0.1857,-0.00868,-0.04788,0.493,32.912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,33.364,0.0,0.0,0.0,2.887,0.0,0.0
8,2026-05-16T15:35:43.054790+00:00,instagram,GND,43.282,36.671,36.671,0.0,1.0,55.232,48.046,0.4652,0.5348,0,1.0,0.0,0.0,0.187,0.2286,-0.01627,-0.07382,0,1.0,0.0,0.0,0.309,0.1786,-0.00211,-0.01187,0,1.0,0.0,0.0,0.171,0.1857,-0.00791,-0.0435,0.667,48.714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,48.991,0.0,0.0,0.0,2.887,0.0,0.0
9,2026-05-16T15:35:49.058700+00:00,instagram,ISL,17.641,25.103,17.641,1.0,0.0,29.591,36.478,0.5521,0.4479,0,1.0,0.0,0.0,0.338,0.381,-0.0262,-0.07127,0,1.0,0.0,0.0,0.557,0.3704,0.00069,0.00186,2,0.0,0.0,1.0,2.116,0.6667,-0.08843,-0.14231,3.011,32.602,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,33.699,0.0,0.0,0.0,2.887,0.0,0.0
10,2026-05-16T15:35:55.059111+00:00,instagram,ISL,17.285,21.454,17.285,1.0,0.0,29.235,32.829,0.529,0.471,0,1.0,0.0,0.0,0.757,0.381,0.01574,0.04048,0,1.0,0.0,0.0,0.35,0.3704,-0.01996,-0.05539,2,0.0,0.0,1.0,3.055,0.6667,0.00551,0.00823,4.163,33.398,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,33.342,0.0,0.055,0.055,2.887,0.055,0.055
