ho_id,timestamp,task_type,path,isl_ms,gnd_ms,prop_ms,path_p_isl,path_p_gnd,access_cost_isl,access_cost_gnd,inv_cost_p_isl,inv_cost_p_gnd,amf_inst,amf_p0,amf_p1,amf_p2,amf_ms,amf_rho,amf_x,amf_cost,smf_inst,smf_p0,smf_p1,smf_p2,smf_ms,smf_rho,smf_x,smf_cost,upf_inst,upf_p0,upf_p1,upf_p2,upf_ms,upf_rho,upf_x,upf_cost,core_ms,total_ms,on_amf_p0,on_amf_p1,on_amf_p2,on_smf_p0,on_smf_p1,on_smf_p2,on_upf_p0,on_upf_p1,on_upf_p2,gnd_amf_p0,gnd_amf_p1,gnd_amf_p2,gnd_smf_p0,gnd_smf_p1,gnd_smf_p2,gnd_upf_p0,gnd_upf_p1,gnd_upf_p2,on_amf_B0,on_amf_B1,on_amf_B2,on_smf_B0,on_smf_B1,on_smf_B2,on_upf_B0,on_upf_B1,on_upf_B2,gnd_amf_B0,gnd_amf_B1,gnd_amf_B2,gnd_smf_B0,gnd_smf_B1,gnd_smf_B2,gnd_upf_B0,gnd_upf_B1,gnd_upf_B2,global_oracle_ms,access_regret_ms,inst_regret_ms,global_regret_ms,cum_access_regret_ms,cum_inst_regret_ms,cum_global_regret_ms
1,2026-05-16T15:35:01.007440+00:00,instagram,ISL,8.116,40.509,8.116,0.5,0.5,15.649,47.634,0.7527,0.2473,0,0.3333,0.3333,0.3333,0.286,0.127,-0.03141,-0.08629,1,0.3333,0.3333,0.3333,0.848,0.1587,0.02982,0.06063,0,0.3333,0.3333,0.3333,3.349,0.3704,0.03494,0.03096,4.483,20.133,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,1.0026,0.9994,0.9984,1.0009,0.9983,0.9986,1.0,1.0,1.0127,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,19.757,0.0,0.376,0.376,0.0,0.376,0.376
7,2026-05-16T15:35:37.046315+00:00,instagram,ISL,34.362,21.044,34.362,0.5087,0.4913,46.312,32.419,0.4118,0.5882,2,0.3493,0.3293,0.3214,0.563,0.2139,-0.00367,-0.00552,0,0.3464,0.3306,0.323,0.068,0.1284,-0.04818,-0.14013,2,0.3248,0.3253,0.3498,0.385,0.2362,-0.26152,-0.51872,1.016,47.328,0.3493,0.3293,0.3214,0.3464,0.3306,0.323,0.3248,0.3253,0.3498,0.4754,0.2992,0.2254,0.4691,0.3111,0.2198,0.4391,0.3153,0.2456,1.0037,0.9989,0.9986,1.0053,0.998,0.9973,1.0,1.0,1.0317,1.0096,1.0002,0.9937,1.0156,1.003,0.9959,1.0056,1.0011,0.9967,33.364,13.893,0.0,13.964,25.898,0.845,20.724
9,2026-05-16T15:35:49.057868+00:00,instagram,ISL,17.641,25.103,17.641,0.505,0.495,29.591,36.478,0.5521,0.4479,0,0.3633,0.3253,0.3114,0.918,0.1389,0.0318,0.0803,2,0.3633,0.3267,0.31,0.261,0.1874,-0.02889,-0.04878,2,0.3153,0.314,0.3707,2.254,0.255,-0.07458,-0.12312,3.433,33.024,0.3633,0.3253,0.3114,0.3633,0.3267,0.31,0.3153,0.314,0.3707,0.4997,0.2921,0.2082,0.4971,0.3032,0.1997,0.46,0.308,0.232,1.0015,0.9983,0.9971,1.0061,0.9977,0.9988,1.0,1.0,1.0355,1.0091,1.0003,0.9928,1.0182,1.0033,0.9946,1.0066,1.0008,0.9981,33.699,0.0,0.0,0.0,25.898,0.91,20.789
10,2026-05-16T15:35:55.058020+00:00,instagram,ISL,17.285,21.454,17.285,0.5074,0.4926,29.235,32.829,0.529,0.471,2,0.374,0.3236,0.3024,1.395,0.201,0.07947,0.11198,0,0.3753,0.3236,0.3011,1.107,0.1399,0.05566,0.14032,0,0.3108,0.3078,0.3814,5.396,0.3453,0.23963,0.19529,7.898,37.132,0.374,0.3236,0.3024,0.3753,0.3236,0.3011,0.3108,0.3078,0.3814,0.4997,0.2921,0.2082,0.4971,0.3032,0.1997,0.46,0.308,0.232,1.0025,0.9978,0.994,1.0023,0.9975,0.9976,1.0,1.0,1.0481,1.0091,1.0003,0.9928,1.0182,1.0033,0.9946,1.0066,1.0008,0.9981,33.342,0.0,3.79,3.79,25.898,4.7,24.579
11,2026-05-16T15:36:01.067940+00:00,instagram,ISL,16.633,29.005,16.633,0.509,0.491,28.583,40.38,0.5855,0.4145,0,0.3894,0.32,0.2906,0.091,0.1487,-0.0509,-0.14451,1,0.3824,0.3244,0.2932,1.95,0.1541,0.13999,0.25566,2,0.2996,0.2996,0.4008,1.502,0.28,-0.14975,-0.27106,3.543,32.126,0.3894,0.32,0.2906,0.3824,0.3244,0.2932,0.2996,0.2996,0.4008,0.4997,0.2921,0.2082,0.4971,0.3032,0.1997,0.46,0.308,0.232,1.007,0.9973,0.9926,1.0032,0.9909,0.9964,1.0,1.0,1.057,1.0091,1.0003,0.9928,1.0182,1.0033,0.9946,1.0066,1.0008,0.9981,32.69,0.0,0.0,0.0,25.898,4.7,24.579
12,2026-05-16T15:36:07.079529+00:00,instagram,ISL,12.421,28.865,12.421,0.5127,0.4873,24.371,40.24,0.6228,0.3772,0,0.4088,0.3134,0.2778,0.133,0.1568,-0.04665,-0.13218,1,0.3987,0.3162,0.2851,0.246,0.1492,-0.03042,-0.06553,2,0.2928,0.2912,0.416,1.185,0.2932,-0.18145,-0.34371,1.565,25.936,0.4088,0.3134,0.2778,0.3987,0.3162,0.2851,0.2928,0.2912,0.416,0.4997,0.2921,0.2082,0.4971,0.3032,0.1997,0.46,0.308,0.232,1.0111,0.9968,0.9913,1.004,0.9929,0.9952,1.0,1.0,1.0686,1.0091,1.0003,0.9928,1.0182,1.0033,0.9946,1.0066,1.0008,0.9981,28.479,0.0,0.0,0.0,25.898,4.7,24.579
13,2026-05-16T15:36:13.085364+00:00,instagram,ISL,33.598,33.728,33.598,0.5188,0.4812,45.548,45.103,0.4975,0.5025,0,0.428,0.3066,0.2653,0.536,0.1649,-0.00641,-0.01716,2,0.4107,0.3153,0.274,0.269,0.1652,-0.02812,-0.04734,1,0.2846,0.2816,0.4338,1.023,0.3337,-0.1977,-0.18249,1.828,47.376,0.428,0.3066,0.2653,0.4107,0.3153,0.274,0.2846,0.2816,0.4338,0.4997,0.2921,0.2082,0.4971,0.3032,0.1997,0.46,0.308,0.232,1.0116,0.9963,0.99,1.0048,0.9926,0.9966,1.0,1.0,1.0809,1.0091,1.0003,0.9928,1.0182,1.0033,0.9946,1.0066,1.0008,0.9981,46.048,0.445,0.0,1.328,26.343,4.7,25.908
14,2026-05-16T15:36:19.090684+00:00,instagram,ISL,34.3,21.599,34.3,0.5188,0.4812,46.25,32.974,0.4162,0.5838,1,0.443,0.3019,0.2551,0.25,0.1604,-0.03497,-0.06769,0,0.4231,0.3116,0.2654,0.324,0.1574,-0.02263,-0.06348,1,0.2755,0.2725,0.4519,4.705,0.323,0.17052,0.13442,5.279,51.529,0.443,0.3019,0.2551,0.4231,0.3116,0.2654,0.2755,0.2725,0.4519,0.4997,0.2921,0.2082,0.4971,0.3032,0.1997,0.46,0.308,0.232,1.0125,0.9983,0.9888,1.0067,0.9924,0.9955,1.0,1.0,1.0931,1.0091,1.0003,0.9928,1.0182,1.0033,0.9946,1.0066,1.0008,0.9981,33.919,13.276,1.172,17.61,39.619,5.871,43.518
15,2026-05-16T15:36:25.097597+00:00,instagram,ISL,21.508,36.405,21.508,0.516,0.484,33.458,47.78,0.5882,0.4118,2,0.4573,0.2987,0.244,1.198,0.1609,0.05984,0.08484,1,0.4378,0.3075,0.2547,0.127,0.1453,-0.04225,-0.09244,2,0.2674,0.2602,0.4724,0.743,0.3442,-0.22573,-0.47139,2.069,35.526,0.4573,0.2987,0.244,0.4378,0.3075,0.2547,0.2674,0.2602,0.4724,0.4997,0.2921,0.2082,0.4971,0.3032,0.1997,0.46,0.308,0.232,1.0134,0.9979,0.9865,1.0074,0.9952,0.9945,1.0,1.0,1.1101,1.0091,1.0003,0.9928,1.0182,1.0033,0.9946,1.0066,1.0008,0.9981,37.565,0.0,0.0,0.0,39.619,5.871,43.518
18,2026-05-16T15:36:43.123308+00:00,instagram,ISL,22.796,27.898,22.796,0.5218,0.4782,34.746,39.273,0.5306,0.4694,0,0.4733,0.2935,0.2332,0.666,0.1827,0.00659,0.01737,1,0.4495,0.3067,0.2439,0.426,0.1453,-0.01237,-0.0262,0,0.2562,0.248,0.4958,2.046,0.2847,-0.09542,-0.08979,3.138,37.884,0.4733,0.2935,0.2332,0.4495,0.3067,0.2439,0.2562,0.248,0.4958,0.5562,0.2701,0.1737,0.5487,0.2884,0.1629,0.5048,0.2938,0.2014,1.0129,0.9975,0.9854,1.0082,0.9959,0.9935,1.0,1.0,1.1217,1.0125,1.0004,0.9931,1.0242,1.0066,0.9932,1.0081,1.0003,0.9965,38.854,0.0,0.0,0.0,49.302,5.871,49.619
