ho_id,timestamp,task_type,path,isl_ms,gnd_ms,prop_ms,path_p_isl,path_p_gnd,access_cost_isl,access_cost_gnd,inv_cost_p_isl,inv_cost_p_gnd,amf_inst,amf_p0,amf_p1,amf_p2,amf_ms,amf_rho,amf_x,amf_cost,smf_inst,smf_p0,smf_p1,smf_p2,smf_ms,smf_rho,smf_x,smf_cost,upf_inst,upf_p0,upf_p1,upf_p2,upf_ms,upf_rho,upf_x,upf_cost,core_ms,total_ms,on_amf_p0,on_amf_p1,on_amf_p2,on_smf_p0,on_smf_p1,on_smf_p2,on_upf_p0,on_upf_p1,on_upf_p2,gnd_amf_p0,gnd_amf_p1,gnd_amf_p2,gnd_smf_p0,gnd_smf_p1,gnd_smf_p2,gnd_upf_p0,gnd_upf_p1,gnd_upf_p2,on_amf_B0,on_amf_B1,on_amf_B2,on_smf_B0,on_smf_B1,on_smf_B2,on_upf_B0,on_upf_B1,on_upf_B2,gnd_amf_B0,gnd_amf_B1,gnd_amf_B2,gnd_smf_B0,gnd_smf_B1,gnd_smf_B2,gnd_upf_B0,gnd_upf_B1,gnd_upf_B2,global_oracle_ms,access_regret_ms,inst_regret_ms,global_regret_ms,cum_access_regret_ms,cum_inst_regret_ms,cum_global_regret_ms
1,2026-05-16T15:35:01.009067+00:00,instagram,GND,8.116,40.509,40.509,0.5,0.5,15.649,47.634,0.7527,0.2473,2,0.3333,0.3333,0.3333,0.465,0.1524,0.01154,0.02492,2,0.3333,0.3333,0.3333,0.372,0.1361,0.00424,0.01034,1,0.3333,0.3333,0.3333,0.097,0.0873,-0.01526,-0.06005,0.935,48.569,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,19.757,31.984,0.0,28.812,31.984,0.0,28.812
2,2026-05-16T15:35:07.014130+00:00,instagram,GND,39.728,43.19,43.19,0.5,0.5,51.678,54.565,0.5136,0.4864,0,0.3333,0.3333,0.3333,0.084,0.0762,-0.02658,-0.1236,2,0.3333,0.3333,0.3333,0.279,0.1361,-0.00513,-0.01265,1,0.3333,0.3333,0.3333,0.108,0.0873,-0.01424,-0.0559,0.471,55.036,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,55.51,2.887,0.0,0.0,34.872,0.0,28.812
3,2026-05-16T15:35:13.027148+00:00,instagram,GND,19.326,29.02,29.02,0.5,0.5,31.276,40.395,0.5636,0.4364,2,0.3333,0.3333,0.3333,0.525,0.1524,0.0175,0.03757,0,0.3333,0.3333,0.3333,0.297,0.0595,-0.00334,-0.01888,1,0.3333,0.3333,0.3333,0.035,0.0873,-0.02151,-0.08569,0.857,41.251,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,35.384,9.118,0.0,5.867,43.99,0.0,34.679
4,2026-05-16T15:35:19.030098+00:00,instagram,ISL,39.526,29.418,39.526,0.5,0.5,51.476,40.793,0.4421,0.5579,2,0.3333,0.3333,0.3333,0.328,0.2222,-0.02719,-0.04165,0,0.3333,0.3333,0.3333,0.911,0.1235,0.03611,0.09303,0,0.3333,0.3333,0.3333,6.104,0.3704,0.31043,0.24638,7.343,58.82,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,41.738,10.683,3.236,17.082,54.673,3.236,51.761
5,2026-05-16T15:35:25.040188+00:00,instagram,GND,26.24,22.604,22.604,0.5,0.5,38.19,33.979,0.4708,0.5292,1,0.3333,0.3333,0.3333,0.526,0.1088,0.01757,0.05242,0,0.3333,0.3333,0.3333,0.094,0.0595,-0.02358,-0.14163,0,0.3333,0.3333,0.3333,0.112,0.0619,-0.01379,-0.07713,0.732,34.711,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,34.924,0.0,0.0,0.0,54.673,3.236,51.761
6,2026-05-16T15:35:31.044325+00:00,instagram,GND,29.475,26.295,26.295,0.5,0.5,41.425,37.67,0.4763,0.5237,1,0.3333,0.3333,0.3333,0.097,0.1088,-0.02527,-0.08056,2,0.3333,0.3333,0.3333,0.827,0.1361,0.04973,0.11496,2,0.3333,0.3333,0.3333,0.131,0.1088,-0.01186,-0.037,1.056,38.726,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,38.615,0.0,0.111,0.111,54.673,3.347,51.872
7,2026-05-16T15:35:37.047129+00:00,instagram,ISL,34.362,21.044,34.362,0.5,0.5,46.312,32.419,0.4118,0.5882,0,0.3333,0.3333,0.3333,0.546,0.127,-0.00538,-0.01422,2,0.3333,0.3333,0.3333,0.602,0.202,0.00523,0.00859,0,0.3333,0.3333,0.3333,0.832,0.3704,-0.21679,-0.21705,1.981,48.292,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,33.364,13.893,0.0,14.929,68.565,3.347,66.801
8,2026-05-16T15:35:43.054447+00:00,instagram,ISL,43.282,36.671,43.282,0.5,0.5,55.232,48.046,0.4652,0.5348,2,0.3333,0.3333,0.3333,1.389,0.2222,0.07894,0.11191,2,0.3333,0.3333,0.3333,2.015,0.202,0.14645,0.21644,0,0.3333,0.3333,0.3333,1.412,0.3704,-0.15879,-0.15421,4.816,60.048,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,48.991,7.186,0.709,11.058,75.751,4.056,77.858
9,2026-05-16T15:35:49.058441+00:00,instagram,GND,17.641,25.103,25.103,0.5,0.5,29.591,36.478,0.5521,0.4479,1,0.3333,0.3333,0.3333,0.308,0.1088,-0.00416,-0.01283,1,0.3333,0.3333,0.3333,0.141,0.0952,-0.01889,-0.06842,1,0.3333,0.3333,0.3333,0.038,0.0873,-0.02116,-0.08423,0.488,36.966,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,33.699,6.887,0.0,3.267,82.638,4.056,81.126
10,2026-05-16T15:35:55.058646+00:00,instagram,GND,17.285,21.454,21.454,0.5,0.5,29.235,32.829,0.529,0.471,0,0.3333,0.3333,0.3333,0.265,0.0762,-0.00847,-0.03775,0,0.3333,0.3333,0.3333,0.189,0.0595,-0.01411,-0.0823,2,0.3333,0.3333,0.3333,0.162,0.1088,-0.00877,-0.02724,0.616,33.445,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,33.342,3.594,0.0,0.103,86.233,4.056,81.229
