ho_id,timestamp,task_type,path,isl_ms,gnd_ms,prop_ms,path_p_isl,path_p_gnd,access_cost_isl,access_cost_gnd,inv_cost_p_isl,inv_cost_p_gnd,trgsat_bg,tn_bg,amf_inst,amf_p0,amf_p1,amf_p2,amf_ms,amf_rho,amf_x,amf_cost,smf_inst,smf_p0,smf_p1,smf_p2,smf_ms,smf_rho,smf_x,smf_cost,upf_inst,upf_p0,upf_p1,upf_p2,upf_ms,upf_rho,upf_x,upf_cost,core_ms,total_ms,on_amf_p0,on_amf_p1,on_amf_p2,on_smf_p0,on_smf_p1,on_smf_p2,on_upf_p0,on_upf_p1,on_upf_p2,gnd_amf_p0,gnd_amf_p1,gnd_amf_p2,gnd_smf_p0,gnd_smf_p1,gnd_smf_p2,gnd_upf_p0,gnd_upf_p1,gnd_upf_p2,on_amf_B0,on_amf_B1,on_amf_B2,on_smf_B0,on_smf_B1,on_smf_B2,on_upf_B0,on_upf_B1,on_upf_B2,gnd_amf_B0,gnd_amf_B1,gnd_amf_B2,gnd_smf_B0,gnd_smf_B1,gnd_smf_B2,gnd_upf_B0,gnd_upf_B1,gnd_upf_B2,global_oracle_ms,access_regret_ms,inst_regret_ms,global_regret_ms,cum_access_regret_ms,cum_inst_regret_ms,cum_global_regret_ms
1,2026-05-15T04:46:44.828600+00:00,browsing,GND,17.261,40.401,40.401,0.5,0.5,26.563,48.228,0.6448,0.3552,0.525,0.35,1,0.3333,0.3333,0.3333,0.431,0.326,0.01815,0.05403,0,0.3333,0.3333,0.3333,0.075,0.2714,-0.00749,-0.04288,1,0.3333,0.3333,0.3333,0.233,0.1821,0.00329,0.0161,0.739,48.968,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3545,0.3299,0.3155,0.3684,0.3241,0.3074,0.396,0.3154,0.2886,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9989,0.9984,1.0009,0.9988,0.9982,1.0015,0.9997,0.9989,29.481,21.665,0.15,19.486,21.665,0.15,19.486
2,2026-05-15T04:46:50.841450+00:00,browsing,ISL,40.086,43.547,40.086,0.5024,0.4976,49.771,51.439,0.5082,0.4918,0.542,0.3552,2,0.3333,0.3333,0.3333,2.318,0.6006,0.16175,0.21647,0,0.3333,0.3333,0.3333,0.59,0.5333,0.00901,0.02401,0,0.3333,0.3333,0.3333,1.03,0.5,0.00302,0.00542,3.938,53.709,0.3463,0.3296,0.3241,0.3448,0.3316,0.3235,0.3395,0.3278,0.3327,0.3545,0.3299,0.3155,0.3684,0.3241,0.3074,0.396,0.3154,0.2886,0.9993,0.9965,0.9961,0.9995,0.9977,0.9965,0.9999,0.9961,0.9974,0.9998,0.9989,0.9984,1.0009,0.9988,0.9982,1.0015,0.9997,0.9989,52.03,0.0,0.99,1.679,21.665,1.139,21.165
3,2026-05-15T04:46:56.852154+00:00,browsing,GND,17.047,27.019,27.019,0.5025,0.4975,27.147,34.977,0.563,0.437,0.559,0.3605,0,0.3545,0.3299,0.3155,0.233,0.3103,-0.00173,-0.00758,2,0.3684,0.3241,0.3074,0.793,0.3915,0.06433,0.14573,0,0.396,0.3154,0.2886,0.136,0.1029,-0.00644,-0.05819,1.162,36.139,0.3463,0.3296,0.3241,0.3448,0.3316,0.3235,0.3395,0.3278,0.3327,0.3769,0.3256,0.2974,0.4006,0.3163,0.283,0.4601,0.2939,0.2459,0.9993,0.9965,0.9961,0.9995,0.9977,0.9965,0.9999,0.9961,0.9974,1.0,0.9981,0.9967,1.0003,0.9975,0.9954,1.0027,0.9994,0.9978,30.121,7.831,0.57,6.018,29.495,1.709,27.183
4,2026-05-15T04:47:02.867385+00:00,browsing,ISL,16.559,25.786,16.559,0.5042,0.4958,27.109,33.811,0.555,0.445,0.5758,0.3657,0,0.3463,0.3296,0.3241,1.055,0.5016,0.03552,0.08894,1,0.3448,0.3316,0.3235,0.62,0.479,0.01201,0.02485,2,0.3395,0.3278,0.3327,1.393,0.5667,0.03932,0.06035,3.069,30.178,0.358,0.3266,0.3154,0.3533,0.333,0.3138,0.3444,0.322,0.3336,0.3769,0.3256,0.2974,0.4006,0.3163,0.283,0.4601,0.2939,0.2459,0.9976,0.9932,0.9921,0.9977,0.9972,0.993,0.9991,0.9922,0.9963,1.0,0.9981,0.9967,1.0003,0.9975,0.9954,1.0027,0.9994,0.9978,30.105,0.0,0.073,0.073,29.495,1.782,27.256
5,2026-05-15T04:47:08.879012+00:00,browsing,ISL,15.64,25.165,15.64,0.5058,0.4942,26.677,33.258,0.5549,0.4451,0.5926,0.3709,1,0.358,0.3266,0.3154,1.64,0.5958,0.09402,0.16089,1,0.3533,0.333,0.3138,0.741,0.4711,0.0241,0.04918,2,0.3444,0.322,0.3336,1.649,0.5667,0.06486,0.09752,4.03,30.706,0.3705,0.3233,0.3061,0.3621,0.3336,0.3043,0.3497,0.3165,0.3337,0.3769,0.3256,0.2974,0.4006,0.3163,0.283,0.4601,0.2939,0.2459,0.9965,0.9902,0.9881,0.9959,0.9962,0.9894,0.9983,0.9884,0.9944,1.0,0.9981,0.9967,1.0003,0.9975,0.9954,1.0027,0.9994,0.9978,29.688,0.0,1.018,1.018,29.495,2.8,28.274
6,2026-05-15T04:47:14.890610+00:00,browsing,ISL,20.038,25.15,20.038,0.5075,0.4925,31.603,33.312,0.5132,0.4868,0.6091,0.3761,0,0.3705,0.3233,0.3061,0.994,0.5238,0.02936,0.07391,1,0.3621,0.3336,0.3043,0.741,0.4636,0.02413,0.04921,1,0.3497,0.3165,0.3337,2.36,0.6667,0.13599,0.16627,4.095,35.697,0.3828,0.32,0.2972,0.3711,0.334,0.2949,0.3551,0.3119,0.333,0.3769,0.3256,0.2974,0.4006,0.3163,0.283,0.4601,0.2939,0.2459,0.9951,0.9871,0.9841,0.9941,0.9953,0.9858,0.9975,0.9853,0.9919,1.0,0.9981,0.9967,1.0003,0.9975,0.9954,1.0027,0.9994,0.9978,33.905,0.0,1.073,1.792,29.495,3.873,30.066
7,2026-05-15T04:47:20.904112+00:00,browsing,GND,24.678,29.531,29.531,0.5081,0.4919,36.815,37.763,0.5064,0.4936,0.6254,0.3813,1,0.3769,0.3256,0.2974,0.265,0.3124,0.00154,0.0047,0,0.4006,0.3163,0.283,0.37,0.2797,0.02202,0.11605,1,0.4601,0.2939,0.2459,0.083,0.1821,-0.01167,-0.05941,0.719,38.482,0.3828,0.32,0.2972,0.3711,0.334,0.2949,0.3551,0.3119,0.333,0.3981,0.3224,0.2795,0.4274,0.3098,0.2628,0.5245,0.2715,0.2039,0.9951,0.9871,0.9841,0.9941,0.9953,0.9858,0.9975,0.9853,0.9919,0.9998,0.998,0.995,0.9981,0.9963,0.9936,1.0043,1.0007,0.9967,38.357,0.948,0.125,0.125,30.443,3.998,30.191
8,2026-05-15T04:47:26.914833+00:00,browsing,GND,21.287,36.293,36.293,0.5085,0.4915,34.045,44.595,0.5671,0.4329,0.6415,0.3865,1,0.3981,0.3224,0.2795,0.369,0.3104,0.01189,0.03568,1,0.4274,0.3098,0.2628,0.152,0.2647,0.00022,0.00078,2,0.5245,0.2715,0.2039,0.829,0.2755,0.06291,0.18578,1.35,45.946,0.3828,0.32,0.2972,0.3711,0.334,0.2949,0.3551,0.3119,0.333,0.4201,0.3175,0.2624,0.4585,0.3016,0.24,0.592,0.2438,0.1642,0.9951,0.9871,0.9841,0.9941,0.9953,0.9858,0.9975,0.9853,0.9919,0.9996,0.9973,0.9934,0.9975,0.9963,0.9917,1.0058,1.0004,0.9933,37.067,10.55,0.756,8.878,40.993,4.754,39.069
9,2026-05-15T04:47:32.928207+00:00,browsing,ISL,33.69,36.366,33.69,0.5099,0.4901,47.121,44.741,0.487,0.513,0.6572,0.3917,2,0.3828,0.32,0.2972,1.812,0.6078,0.11122,0.15161,2,0.3711,0.334,0.2949,1.429,0.5791,0.0929,0.14038,2,0.3551,0.3119,0.333,1.295,0.5667,0.02953,0.04543,4.537,51.658,0.3946,0.3164,0.289,0.3806,0.3326,0.2868,0.36,0.3061,0.3339,0.4201,0.3175,0.2624,0.4585,0.3016,0.24,0.592,0.2438,0.1642,0.9938,0.9844,0.9813,0.9926,0.9934,0.9831,0.9967,0.9815,0.991,0.9996,0.9973,0.9934,0.9975,0.9963,0.9917,1.0058,1.0004,0.9933,45.335,2.38,1.524,6.322,43.374,6.279,45.391
10,2026-05-15T04:47:38.939275+00:00,browsing,GND,29.155,26.097,26.097,0.51,0.49,43.317,34.544,0.4437,0.5563,0.6725,0.3968,2,0.4201,0.3175,0.2624,0.454,0.4452,0.02044,0.04342,1,0.4585,0.3016,0.24,0.289,0.2623,0.01394,0.04741,0,0.592,0.2438,0.1642,0.095,0.1029,-0.01051,-0.09726,0.839,35.383,0.3946,0.3164,0.289,0.3806,0.3326,0.2868,0.36,0.3061,0.3339,0.442,0.3113,0.2467,0.4907,0.2907,0.2186,0.6567,0.2126,0.1307,0.9938,0.9844,0.9813,0.9926,0.9934,0.9831,0.9967,0.9815,0.991,0.9994,0.9964,0.9925,0.9969,0.9954,0.9898,1.0078,1.0002,0.9923,35.139,0.0,0.244,0.244,43.374,6.522,45.635
