ho_id,timestamp,task_type,path,isl_ms,gnd_ms,prop_ms,path_p_isl,path_p_gnd,access_cost_isl,access_cost_gnd,inv_cost_p_isl,inv_cost_p_gnd,trgsat_bg,tn_bg,amf_inst,amf_p0,amf_p1,amf_p2,amf_ms,amf_rho,amf_x,amf_cost,smf_inst,smf_p0,smf_p1,smf_p2,smf_ms,smf_rho,smf_x,smf_cost,upf_inst,upf_p0,upf_p1,upf_p2,upf_ms,upf_rho,upf_x,upf_cost,core_ms,total_ms,on_amf_p0,on_amf_p1,on_amf_p2,on_smf_p0,on_smf_p1,on_smf_p2,on_upf_p0,on_upf_p1,on_upf_p2,gnd_amf_p0,gnd_amf_p1,gnd_amf_p2,gnd_smf_p0,gnd_smf_p1,gnd_smf_p2,gnd_upf_p0,gnd_upf_p1,gnd_upf_p2,on_amf_B0,on_amf_B1,on_amf_B2,on_smf_B0,on_smf_B1,on_smf_B2,on_upf_B0,on_upf_B1,on_upf_B2,gnd_amf_B0,gnd_amf_B1,gnd_amf_B2,gnd_smf_B0,gnd_smf_B1,gnd_smf_B2,gnd_upf_B0,gnd_upf_B1,gnd_upf_B2,global_oracle_ms,access_regret_ms,inst_regret_ms,global_regret_ms,cum_access_regret_ms,cum_inst_regret_ms,cum_global_regret_ms
2,2026-05-15T04:46:50.841450+00:00,browsing,ISL,40.086,43.547,40.086,0.5024,0.4976,49.771,51.439,0.5082,0.4918,0.542,0.3552,2,0.3333,0.3333,0.3333,2.318,0.6006,0.16175,0.21647,0,0.3333,0.3333,0.3333,0.59,0.5333,0.00901,0.02401,0,0.3333,0.3333,0.3333,1.03,0.5,0.00302,0.00542,3.938,53.709,0.3463,0.3296,0.3241,0.3448,0.3316,0.3235,0.3395,0.3278,0.3327,0.3545,0.3299,0.3155,0.3684,0.3241,0.3074,0.396,0.3154,0.2886,0.9993,0.9965,0.9961,0.9995,0.9977,0.9965,0.9999,0.9961,0.9974,0.9998,0.9989,0.9984,1.0009,0.9988,0.9982,1.0015,0.9997,0.9989,52.03,0.0,0.99,1.679,21.665,1.139,21.165
4,2026-05-15T04:47:02.867385+00:00,browsing,ISL,16.559,25.786,16.559,0.5042,0.4958,27.109,33.811,0.555,0.445,0.5758,0.3657,0,0.3463,0.3296,0.3241,1.055,0.5016,0.03552,0.08894,1,0.3448,0.3316,0.3235,0.62,0.479,0.01201,0.02485,2,0.3395,0.3278,0.3327,1.393,0.5667,0.03932,0.06035,3.069,30.178,0.358,0.3266,0.3154,0.3533,0.333,0.3138,0.3444,0.322,0.3336,0.3769,0.3256,0.2974,0.4006,0.3163,0.283,0.4601,0.2939,0.2459,0.9976,0.9932,0.9921,0.9977,0.9972,0.993,0.9991,0.9922,0.9963,1.0,0.9981,0.9967,1.0003,0.9975,0.9954,1.0027,0.9994,0.9978,30.105,0.0,0.073,0.073,29.495,1.782,27.256
5,2026-05-15T04:47:08.879012+00:00,browsing,ISL,15.64,25.165,15.64,0.5058,0.4942,26.677,33.258,0.5549,0.4451,0.5926,0.3709,1,0.358,0.3266,0.3154,1.64,0.5958,0.09402,0.16089,1,0.3533,0.333,0.3138,0.741,0.4711,0.0241,0.04918,2,0.3444,0.322,0.3336,1.649,0.5667,0.06486,0.09752,4.03,30.706,0.3705,0.3233,0.3061,0.3621,0.3336,0.3043,0.3497,0.3165,0.3337,0.3769,0.3256,0.2974,0.4006,0.3163,0.283,0.4601,0.2939,0.2459,0.9965,0.9902,0.9881,0.9959,0.9962,0.9894,0.9983,0.9884,0.9944,1.0,0.9981,0.9967,1.0003,0.9975,0.9954,1.0027,0.9994,0.9978,29.688,0.0,1.018,1.018,29.495,2.8,28.274
6,2026-05-15T04:47:14.890610+00:00,browsing,ISL,20.038,25.15,20.038,0.5075,0.4925,31.603,33.312,0.5132,0.4868,0.6091,0.3761,0,0.3705,0.3233,0.3061,0.994,0.5238,0.02936,0.07391,1,0.3621,0.3336,0.3043,0.741,0.4636,0.02413,0.04921,1,0.3497,0.3165,0.3337,2.36,0.6667,0.13599,0.16627,4.095,35.697,0.3828,0.32,0.2972,0.3711,0.334,0.2949,0.3551,0.3119,0.333,0.3769,0.3256,0.2974,0.4006,0.3163,0.283,0.4601,0.2939,0.2459,0.9951,0.9871,0.9841,0.9941,0.9953,0.9858,0.9975,0.9853,0.9919,1.0,0.9981,0.9967,1.0003,0.9975,0.9954,1.0027,0.9994,0.9978,33.905,0.0,1.073,1.792,29.495,3.873,30.066
9,2026-05-15T04:47:32.928207+00:00,browsing,ISL,33.69,36.366,33.69,0.5099,0.4901,47.121,44.741,0.487,0.513,0.6572,0.3917,2,0.3828,0.32,0.2972,1.812,0.6078,0.11122,0.15161,2,0.3711,0.334,0.2949,1.429,0.5791,0.0929,0.14038,2,0.3551,0.3119,0.333,1.295,0.5667,0.02953,0.04543,4.537,51.658,0.3946,0.3164,0.289,0.3806,0.3326,0.2868,0.36,0.3061,0.3339,0.4201,0.3175,0.2624,0.4585,0.3016,0.24,0.592,0.2438,0.1642,0.9938,0.9844,0.9813,0.9926,0.9934,0.9831,0.9967,0.9815,0.991,0.9996,0.9973,0.9934,0.9975,0.9963,0.9917,1.0058,1.0004,0.9933,45.335,2.38,1.524,6.322,43.374,6.279,45.391
12,2026-05-15T04:47:50.956278+00:00,browsing,ISL,16.315,28.767,16.315,0.5098,0.4902,32.126,37.363,0.5377,0.4623,0.702,0.4071,2,0.3946,0.3164,0.289,2.512,0.618,0.18117,0.2355,1,0.3806,0.3326,0.2868,1.047,0.4327,0.05472,0.10789,2,0.36,0.3061,0.3339,1.584,0.5667,0.0584,0.08779,5.143,37.269,0.407,0.3134,0.2796,0.3913,0.3312,0.2775,0.3652,0.3007,0.3341,0.4644,0.3051,0.2305,0.5239,0.278,0.1981,0.7144,0.1825,0.1031,0.9925,0.982,0.9771,0.9914,0.9913,0.9792,0.9959,0.9776,0.9893,0.9992,0.9957,0.9908,0.9965,0.9941,0.9879,1.0094,0.9994,0.9912,35.068,0.0,2.201,2.201,43.374,8.966,48.078
13,2026-05-15T04:47:56.976560+00:00,browsing,ISL,15.592,28.812,15.592,0.5113,0.4887,32.33,37.484,0.5369,0.4631,0.716,0.4122,1,0.407,0.3134,0.2796,1.041,0.5211,0.03412,0.06087,1,0.3913,0.3312,0.2775,0.63,0.4304,0.01302,0.02673,0,0.3652,0.3007,0.3341,0.884,0.5,-0.01161,-0.02104,2.555,34.886,0.4189,0.3113,0.2699,0.4012,0.3312,0.2676,0.3723,0.295,0.3328,0.4644,0.3051,0.2305,0.5239,0.278,0.1981,0.7144,0.1825,0.1031,0.9912,0.9809,0.9729,0.9902,0.9908,0.9753,0.9964,0.9738,0.9867,0.9992,0.9957,0.9908,0.9965,0.9941,0.9879,1.0094,0.9994,0.9912,35.238,0.0,0.0,0.0,43.374,8.966,48.078
14,2026-05-15T04:48:02.988456+00:00,browsing,ISL,17.12,29.694,17.12,0.5128,0.4872,34.86,38.443,0.5244,0.4756,0.7295,0.4172,1,0.4189,0.3113,0.2699,0.847,0.5131,0.01474,0.02674,0,0.4012,0.3312,0.2676,1.152,0.4264,0.06524,0.16034,0,0.3723,0.295,0.3328,1.066,0.5,0.00659,0.01175,3.066,37.926,0.4306,0.3095,0.2599,0.4091,0.3313,0.2596,0.3787,0.2896,0.3317,0.4644,0.3051,0.2305,0.5239,0.278,0.1981,0.7144,0.1825,0.1031,0.9901,0.9803,0.9686,0.9873,0.989,0.9712,0.9961,0.97,0.9842,0.9992,0.9957,0.9908,0.9965,0.9941,0.9879,1.0094,0.9994,0.9912,37.73,0.0,0.196,0.196,43.374,9.162,48.275
18,2026-05-15T04:48:27.042324+00:00,youtube,ISL,20.246,21.745,20.246,0.5009,0.4991,41.587,30.769,0.4252,0.5748,0.7776,0.4371,1,0.4306,0.3095,0.2599,1.639,0.3821,0.09388,0.15875,1,0.4091,0.3313,0.2596,0.655,0.3375,0.01552,0.0317,2,0.3333,0.3333,0.3333,0.898,0.4148,-0.01022,-0.0174,3.192,44.779,0.445,0.304,0.2511,0.4199,0.3299,0.2503,0.338,0.3256,0.3365,0.5228,0.288,0.1892,0.61,0.2427,0.1473,0.4444,0.303,0.2526,0.99,0.9774,0.9657,0.9869,0.9884,0.9683,1.0001,0.9972,1.0004,0.9958,0.9935,0.9863,0.9925,0.9908,0.9828,1.0022,1.0006,1.0,31.38,10.818,0.93,13.399,55.003,10.686,62.268
19,2026-05-15T04:48:33.056616+00:00,youtube,ISL,29.507,26.283,29.507,0.5003,0.4997,52.097,35.387,0.4045,0.5955,0.7879,0.442,1,0.445,0.304,0.2511,0.657,0.3783,-0.00429,-0.0079,0,0.4199,0.3299,0.2503,1.275,0.2898,0.07751,0.18716,2,0.338,0.3256,0.3365,2.478,0.4148,0.14778,0.22192,4.41,56.507,0.4577,0.3011,0.2412,0.4261,0.3304,0.2434,0.3447,0.3198,0.3355,0.5228,0.288,0.1892,0.61,0.2427,0.1473,0.4444,0.303,0.2526,0.99,0.9776,0.9627,0.9835,0.9872,0.9653,1.0001,0.9945,0.9964,0.9958,0.9935,0.9863,0.9925,0.9908,0.9828,1.0022,1.0006,1.0,35.997,16.711,2.179,20.51,71.714,12.865,82.778
