ho_id,timestamp,task_type,path,isl_ms,gnd_ms,prop_ms,path_p_isl,path_p_gnd,access_cost_isl,access_cost_gnd,inv_cost_p_isl,inv_cost_p_gnd,trgsat_bg,tn_bg,amf_inst,amf_p0,amf_p1,amf_p2,amf_ms,amf_rho,amf_x,amf_cost,smf_inst,smf_p0,smf_p1,smf_p2,smf_ms,smf_rho,smf_x,smf_cost,upf_inst,upf_p0,upf_p1,upf_p2,upf_ms,upf_rho,upf_x,upf_cost,core_ms,total_ms,on_amf_p0,on_amf_p1,on_amf_p2,on_smf_p0,on_smf_p1,on_smf_p2,on_upf_p0,on_upf_p1,on_upf_p2,gnd_amf_p0,gnd_amf_p1,gnd_amf_p2,gnd_smf_p0,gnd_smf_p1,gnd_smf_p2,gnd_upf_p0,gnd_upf_p1,gnd_upf_p2,on_amf_B0,on_amf_B1,on_amf_B2,on_smf_B0,on_smf_B1,on_smf_B2,on_upf_B0,on_upf_B1,on_upf_B2,gnd_amf_B0,gnd_amf_B1,gnd_amf_B2,gnd_smf_B0,gnd_smf_B1,gnd_smf_B2,gnd_upf_B0,gnd_upf_B1,gnd_upf_B2,global_oracle_ms,access_regret_ms,inst_regret_ms,global_regret_ms,cum_access_regret_ms,cum_inst_regret_ms,cum_global_regret_ms
1,2026-05-15T04:46:44.830045+00:00,browsing,ISL,17.261,40.401,17.261,0.5,0.5,26.563,48.228,0.6448,0.3552,0.525,0.35,1,0.3333,0.3333,0.3333,1.415,0.6276,0.07153,0.12586,2,0.3333,0.3333,0.3333,3.751,0.5505,0.32511,0.42946,0,0.3333,0.3333,0.3333,0.81,0.5,-0.01901,-0.03481,5.976,32.54,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,,,,,,,,,,,,,,,,,,,29.481,0.0,3.058,3.058,0.0,3.058,3.058
2,2026-05-15T04:46:50.842901+00:00,browsing,GND,40.086,43.547,43.547,0.5,0.5,49.771,51.439,0.5082,0.4918,0.542,0.3552,2,0.3333,0.3333,0.3333,0.406,0.4231,0.01561,0.03358,0,0.3333,0.3333,0.3333,0.179,0.2733,0.00293,0.01627,1,0.3333,0.3333,0.3333,0.095,0.1821,-0.01045,-0.05302,0.681,52.12,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,,,,,,,,,,,,,,,,,,,52.03,1.668,0.09,0.09,1.668,3.149,3.149
3,2026-05-15T04:46:56.853139+00:00,browsing,ISL,17.047,27.019,17.047,0.5,0.5,27.147,34.977,0.563,0.437,0.559,0.3605,0,0.3333,0.3333,0.3333,1.196,0.4883,0.04958,0.12234,1,0.3333,0.3333,0.3333,0.94,0.4873,0.04401,0.0884,1,0.3333,0.3333,0.3333,2.498,0.6667,0.14976,0.18413,4.633,31.78,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,,,,,,,,,,,,,,,,,,,30.121,0.0,1.659,1.659,1.668,4.808,4.808
4,2026-05-15T04:47:02.869129+00:00,browsing,GND,16.559,25.786,25.786,0.5,0.5,27.109,33.811,0.555,0.445,0.5758,0.3657,2,0.3333,0.3333,0.3333,1.98,0.4279,0.17302,0.32099,0,0.3333,0.3333,0.3333,0.235,0.2765,0.00848,0.04638,1,0.3333,0.3333,0.3333,0.101,0.1821,-0.00986,-0.04995,2.316,36.127,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,,,,,,,,,,,,,,,,,,,30.105,6.702,1.724,6.022,8.37,6.532,10.83
5,2026-05-15T04:47:08.880538+00:00,browsing,GND,15.64,25.165,25.165,0.5,0.5,26.677,33.258,0.5549,0.4451,0.5926,0.3709,2,0.3333,0.3333,0.3333,0.954,0.4305,0.07044,0.14332,0,0.3333,0.3333,0.3333,0.131,0.2778,-0.00193,-0.01088,1,0.3333,0.3333,0.3333,0.376,0.1821,0.01765,0.08361,1.462,34.719,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,,,,,,,,,,,,,,,,,,,29.688,6.581,0.869,5.031,14.951,7.401,15.861
6,2026-05-15T04:47:14.892059+00:00,browsing,ISL,20.038,25.15,20.038,0.5,0.5,31.603,33.312,0.5132,0.4868,0.6091,0.3761,0,0.3333,0.3333,0.3333,0.767,0.5238,0.00673,0.01752,1,0.3333,0.3333,0.3333,0.615,0.4636,0.0115,0.02386,0,0.3333,0.3333,0.3333,0.699,0.5,-0.03007,-0.05565,2.082,33.684,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,,,,,,,,,,,,,,,,,,,33.905,0.0,0.0,0.0,14.951,7.401,15.861
7,2026-05-15T04:47:20.905694+00:00,browsing,ISL,24.678,29.531,24.678,0.5,0.5,36.815,37.763,0.5064,0.4936,0.6254,0.3813,0,0.3333,0.3333,0.3333,0.769,0.532,0.00687,0.01786,1,0.3333,0.3333,0.3333,0.637,0.4567,0.01371,0.02839,0,0.3333,0.3333,0.3333,2.125,0.5,0.11249,0.18439,3.531,40.346,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,,,,,,,,,,,,,,,,,,,38.357,0.0,0.505,1.989,14.951,7.906,17.85
8,2026-05-15T04:47:26.916369+00:00,browsing,ISL,21.287,36.293,21.287,0.5,0.5,34.045,44.595,0.5671,0.4329,0.6415,0.3865,1,0.3333,0.3333,0.3333,2.414,0.5674,0.17136,0.27862,1,0.3333,0.3333,0.3333,0.722,0.4504,0.02222,0.0456,2,0.3333,0.3333,0.3333,1.311,0.5667,0.0311,0.04821,4.447,38.492,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,,,,,,,,,,,,,,,,,,,37.067,0.0,1.424,1.424,14.951,9.33,19.275
9,2026-05-15T04:47:32.929798+00:00,browsing,ISL,33.69,36.366,33.69,0.5,0.5,47.121,44.741,0.487,0.513,0.6572,0.3917,0,0.3333,0.3333,0.3333,0.6,0.5416,-0.00996,-0.02649,1,0.3333,0.3333,0.3333,1.5,0.4448,0.1,0.19061,1,0.3333,0.3333,0.3333,2.477,0.6667,0.14769,0.18181,4.577,51.698,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,,,,,,,,,,,,,,,,,,,45.335,2.38,1.565,6.363,17.331,10.896,25.638
10,2026-05-15T04:47:38.940835+00:00,browsing,ISL,29.155,26.097,29.155,0.5,0.5,43.317,34.544,0.4437,0.5563,0.6725,0.3968,0,0.3333,0.3333,0.3333,0.625,0.5429,-0.00752,-0.01995,1,0.3333,0.3333,0.3333,0.524,0.44,0.00236,0.00495,0,0.3333,0.3333,0.3333,1.318,0.5,0.03177,0.05561,2.466,45.783,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,,,,,,,,,,,,,,,,,,,35.139,8.772,0.0,10.644,26.104,10.896,36.281
